college_name,official_branch_name,normalized_branch,degree,duration_years,approved_intake,female_supernumerary_seats,tfws_seats,nba_status,academic_year,source_id
"National Institute of Technology Karnataka, Surathkal","Chemical Engineering (4 Years, Bachelor of Technology)",CHE,B.Tech.,4,58,0,,NBA accredited through 30 June 2028,2026-27,SRC001;SRC015
"National Institute of Technology Karnataka, Surathkal","Civil Engineering (4 Years, Bachelor of Technology)",CE,B.Tech.,4,115,0,,NBA accredited through 30 June 2028,2026-27,SRC001;SRC015
"National Institute of Technology Karnataka, Surathkal","Computational and Data Science (4 Years, Bachelor of Technology)",CDS,B.Tech.,4,30,0,,Current NBA accreditation not verified,2026-27,SRC001;SRC015
"National Institute of Technology Karnataka, Surathkal","Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,B.Tech.,4,115,0,,NBA accredited through 30 June 2028,2026-27,SRC001;SRC015
"National Institute of Technology Karnataka, Surathkal","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,B.Tech.,4,116,0,,NBA accredited through 30 June 2028,2026-27,SRC001;SRC015
"National Institute of Technology Karnataka, Surathkal","Mechanical Engineering (4 Years, Bachelor of Technology)",ME,B.Tech.,4,174,0,,NBA accredited through 30 June 2028,2026-27,SRC001;SRC015
"National Institute of Technology Karnataka, Surathkal","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",MME,B.Tech.,4,58,2,,Historical NBA accreditation ended 30 June 2025; renewal not located,2026-27,SRC001;SRC015
"National Institute of Technology Karnataka, Surathkal","Mining Engineering (4 Years, Bachelor of Technology)",Mining,B.Tech.,4,58,2,,Historical NBA accreditation ended 30 June 2025; renewal not located,2026-27,SRC001;SRC015
"National Institute of Technology Karnataka, Surathkal","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EEE,B.Tech.,4,116,0,,NBA accredited through 30 June 2028,2026-27,SRC001;SRC015
"National Institute of Technology Karnataka, Surathkal","Information Technology (4 Years, Bachelor of Technology)",IT,B.Tech.,4,58,0,,NBA accredited through 30 June 2028,2026-27,SRC001;SRC015
"National Institute of Technology Karnataka, Surathkal","Artificial Intelligence (4 Years, Bachelor of Technology)",AI,B.Tech.,4,58,0,,Current NBA accreditation not verified,2026-27,SRC001;SRC015
