college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,1,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,GEN-EWS rank,Home State,Gender-Neutral,1142,1142,,,GEN-EWS rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,2,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,GEN-EWS rank,Home State,Gender-Neutral,1163,1163,,,GEN-EWS rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,3,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,GEN-EWS rank,Home State,Gender-Neutral,1163,1163,,,GEN-EWS rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,4,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,GEN-EWS rank,Home State,Gender-Neutral,1163,1163,,,GEN-EWS rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,5,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,GEN-EWS rank,Home State,Gender-Neutral,1321,1321,,,GEN-EWS rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,1,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,Home State,Female-only (including Supernumerary),4021,4021,,,OBC-NCL rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,2,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,Home State,Female-only (including Supernumerary),5601,5601,,,OBC-NCL rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,3,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,Home State,Female-only (including Supernumerary),5601,5601,,,OBC-NCL rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,4,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,Home State,Female-only (including Supernumerary),5601,5601,,,OBC-NCL rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,5,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,Home State,Female-only (including Supernumerary),7052,7052,,,OBC-NCL rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,1,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,Home State,Gender-Neutral,897,2238,,,OBC-NCL rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,2,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,Home State,Gender-Neutral,897,2295,,,OBC-NCL rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,3,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,Home State,Gender-Neutral,897,2383,,,OBC-NCL rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,4,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,Home State,Gender-Neutral,897,2383,,,OBC-NCL rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,5,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,Home State,Gender-Neutral,897,2383,,,OBC-NCL rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,1,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),OBC-NCL-PwD rank,Home State,Gender-Neutral,144,144,,,OBC-NCL-PwD rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,2,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),OBC-NCL-PwD rank,Home State,Gender-Neutral,144,144,,,OBC-NCL-PwD rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,3,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),OBC-NCL-PwD rank,Home State,Gender-Neutral,144,144,,,OBC-NCL-PwD rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,4,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),OBC-NCL-PwD rank,Home State,Gender-Neutral,144,144,,,OBC-NCL-PwD rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,5,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),OBC-NCL-PwD rank,Home State,Gender-Neutral,144,144,,,OBC-NCL-PwD rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,1,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,CRL,Home State,Female-only (including Supernumerary),3948,4490,,,CRL,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,2,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,CRL,Home State,Female-only (including Supernumerary),3948,6233,,,CRL,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,3,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,CRL,Home State,Female-only (including Supernumerary),3948,6233,,,CRL,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,4,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,CRL,Home State,Female-only (including Supernumerary),3948,6233,,,CRL,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,5,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,CRL,Home State,Female-only (including Supernumerary),3948,6233,,,CRL,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,1,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,CRL,Home State,Gender-Neutral,2836,3505,,,CRL,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,2,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,CRL,Home State,Gender-Neutral,2836,3505,,,CRL,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,3,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,CRL,Home State,Gender-Neutral,2836,3505,,,CRL,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,4,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,CRL,Home State,Gender-Neutral,2836,3505,,,CRL,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,5,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,CRL,Home State,Gender-Neutral,3114,3717,,,CRL,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,1,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,SC,SC rank,Home State,Gender-Neutral,976,1415,,,SC rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,2,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,SC,SC rank,Home State,Gender-Neutral,976,1555,,,SC rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,3,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,SC,SC rank,Home State,Gender-Neutral,976,1555,,,SC rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,4,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,SC,SC rank,Home State,Gender-Neutral,976,1555,,,SC rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,5,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,SC,SC rank,Home State,Gender-Neutral,976,1555,,,SC rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,1,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,ST,ST rank,Home State,Female-only (including Supernumerary),739,739,,,ST rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,2,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,ST,ST rank,Home State,Female-only (including Supernumerary),810,810,,,ST rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,3,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,ST,ST rank,Home State,Female-only (including Supernumerary),810,810,,,ST rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,4,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,ST,ST rank,Home State,Female-only (including Supernumerary),810,810,,,ST rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,5,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,ST,ST rank,Home State,Female-only (including Supernumerary),810,810,,,ST rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,1,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,ST,ST rank,Home State,Gender-Neutral,314,314,,,ST rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,2,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,ST,ST rank,Home State,Gender-Neutral,314,314,,,ST rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,3,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,ST,ST rank,Home State,Gender-Neutral,314,314,,,ST rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,4,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,ST,ST rank,Home State,Gender-Neutral,314,314,,,ST rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,5,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,ST,ST rank,Home State,Gender-Neutral,314,314,,,ST rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,1,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,GEN-EWS rank,All India,Female-only (including Supernumerary),732,732,,,GEN-EWS rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,2,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,GEN-EWS rank,All India,Female-only (including Supernumerary),732,732,,,GEN-EWS rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,3,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,GEN-EWS rank,All India,Female-only (including Supernumerary),732,732,,,GEN-EWS rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,4,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,GEN-EWS rank,All India,Female-only (including Supernumerary),732,732,,,GEN-EWS rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,5,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,GEN-EWS rank,All India,Female-only (including Supernumerary),732,732,,,GEN-EWS rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,1,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,GEN-EWS rank,All India,Gender-Neutral,310,332,,,GEN-EWS rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,2,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,GEN-EWS rank,All India,Gender-Neutral,332,356,,,GEN-EWS rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,3,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,GEN-EWS rank,All India,Gender-Neutral,332,356,,,GEN-EWS rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,4,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,GEN-EWS rank,All India,Gender-Neutral,332,356,,,GEN-EWS rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,5,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,EWS,GEN-EWS rank,All India,Gender-Neutral,356,398,,,GEN-EWS rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,1,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,All India,Female-only (including Supernumerary),1664,1664,,,OBC-NCL rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,2,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,All India,Female-only (including Supernumerary),1664,1664,,,OBC-NCL rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,3,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,All India,Female-only (including Supernumerary),1664,1664,,,OBC-NCL rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,4,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,All India,Female-only (including Supernumerary),1664,1664,,,OBC-NCL rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,5,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,All India,Female-only (including Supernumerary),1664,1664,,,OBC-NCL rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,1,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,586,740,,,OBC-NCL rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,2,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,586,740,,,OBC-NCL rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,3,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,586,740,,,OBC-NCL rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,4,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,586,740,,,OBC-NCL rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,5,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OBC-NCL,OBC-NCL rank,All India,Gender-Neutral,586,740,,,OBC-NCL rank,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,1,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,CRL,All India,Female-only (including Supernumerary),4354,4354,,,CRL,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,2,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,CRL,All India,Female-only (including Supernumerary),4354,4354,,,CRL,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,3,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,CRL,All India,Female-only (including Supernumerary),4354,4354,,,CRL,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,4,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,CRL,All India,Female-only (including Supernumerary),4354,4354,,,CRL,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,5,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,CRL,All India,Female-only (including Supernumerary),4354,4354,,,CRL,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,1,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,CRL,All India,Gender-Neutral,1421,2216,,,CRL,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,2,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,CRL,All India,Gender-Neutral,1615,2439,,,CRL,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,3,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,CRL,All India,Gender-Neutral,1615,2486,,,CRL,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,4,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,CRL,All India,Gender-Neutral,1615,2486,,,CRL,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,5,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN,CRL,All India,Gender-Neutral,2138,2594,,,CRL,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,1,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN (PwD),CRL-PwD,All India,Gender-Neutral,109,109,,,CRL-PwD,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,2,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN (PwD),CRL-PwD,All India,Gender-Neutral,151,151,,,CRL-PwD,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,3,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN (PwD),CRL-PwD,All India,Gender-Neutral,109,109,,,CRL-PwD,SRC003,
"National Institute of Technology Karnataka, Surathkal",211,2024,JoSAA,4,Regular JoSAA round,"Artificial Intelligence (4 Years, Bachelor of Technology)",AI,OPEN (PwD),CRL-PwD,All India,Gender-Neutral,109,109,,,CRL-PwD,SRC003,
