college_name,placement_year,programme,branch,record_scope,graduating_students,eligible_students,registered_students,students_placed,placement_percentage,higher_studies_count,median_package_lpa,average_package_lpa,highest_domestic_package_lpa,highest_international_package_lpa,internship_count,ppo_count,average_stipend,highest_stipend,source_type,source_id,source_page,notes
"National Institute of Technology Karnataka, Surathkal",2021-22,B.Tech. / UG 4-year,All UG 4-year programmes,overall - NIRF graduating cohort,837,,,734,87.69,32,12.84,,,,,,,,NIRF-reported,SRC011,2,Percentage calculated from NIRF placed divided by graduating in minimum stipulated time.
"National Institute of Technology Karnataka, Surathkal",2022-23,B.Tech. / UG 4-year,All UG 4-year programmes,overall - NIRF graduating cohort,903,,,794,87.93,74,15.0,,,,,,,,NIRF-reported,SRC011,2,Percentage calculated from NIRF placed divided by graduating in minimum stipulated time.
"National Institute of Technology Karnataka, Surathkal",2023-24,B.Tech. / UG 4-year,All UG 4-year programmes,overall - NIRF graduating cohort,986,,,756,76.67,114,14.0,,,,,,,,NIRF-reported,SRC011,2,Percentage calculated from NIRF placed divided by graduating in minimum stipulated time.
"National Institute of Technology Karnataka, Surathkal",2024-25,All programmes,Overall institute,overall - institution annual report,,,,1057,,,,18.0,,,418,,,,college-reported,SRC012,Annual report pp.213-214,1057 placed across B.Tech/M.Tech/MCA/MBA/MSc as of 1 April 2025. Average CTC about ₹18 lakh is a narrative institution claim with broad scope.
"National Institute of Technology Karnataka, Surathkal",2024-25,B.Tech. / UG 4-year,Civil Engineering,branch-specific - eligible cohort,,82,,56,68.29,,,,,,14,,,,college-reported,SRC012,214,Eligible and placed figures from annual report placement table; internship slots from adjacent table.
"National Institute of Technology Karnataka, Surathkal",2024-25,B.Tech. / UG 4-year,Chemical Engineering,branch-specific - eligible cohort,,48,,32,66.67,,,,,,17,,,,college-reported,SRC012,214,Eligible and placed figures from annual report placement table; internship slots from adjacent table.
"National Institute of Technology Karnataka, Surathkal",2024-25,B.Tech. / UG 4-year,Computer Science and Engineering,branch-specific - eligible cohort,,95,,86,90.53,,,,,,80,,,,college-reported,SRC012,214,Eligible and placed figures from annual report placement table; internship slots from adjacent table.
"National Institute of Technology Karnataka, Surathkal",2024-25,B.Tech. / UG 4-year,Electronics and Communication Engineering,branch-specific - eligible cohort,,102,,78,76.47,,,,,,78,,,,college-reported,SRC012,214,Eligible and placed figures from annual report placement table; internship slots from adjacent table.
"National Institute of Technology Karnataka, Surathkal",2024-25,B.Tech. / UG 4-year,Electrical and Electronics Engineering,branch-specific - eligible cohort,,106,,76,71.7,,,,,,43,,,,college-reported,SRC012,214,Eligible and placed figures from annual report placement table; internship slots from adjacent table.
"National Institute of Technology Karnataka, Surathkal",2024-25,B.Tech. / UG 4-year,Information Technology,branch-specific - eligible cohort,,75,,60,80.0,,,,,,71,,,,college-reported,SRC012,214,Eligible and placed figures from annual report placement table; internship slots from adjacent table.
"National Institute of Technology Karnataka, Surathkal",2024-25,B.Tech. / UG 4-year,Mechanical Engineering,branch-specific - eligible cohort,,142,,109,76.76,,,,,,50,,,,college-reported,SRC012,214,Eligible and placed figures from annual report placement table; internship slots from adjacent table.
"National Institute of Technology Karnataka, Surathkal",2024-25,B.Tech. / UG 4-year,Metallurgical and Materials Engineering,branch-specific - eligible cohort,,40,,34,85.0,,,,,,6,,,,college-reported,SRC012,214,Eligible and placed figures from annual report placement table; internship slots from adjacent table.
"National Institute of Technology Karnataka, Surathkal",2024-25,B.Tech. / UG 4-year,Mining Engineering,branch-specific - eligible cohort,,23,,15,65.22,,,,,,0,,,,college-reported,SRC012,214,Eligible and placed figures from annual report placement table; internship slots from adjacent table.
"National Institute of Technology Karnataka, Surathkal",2024-25,B.Tech. / UG 4-year,Artificial Intelligence,branch-specific - eligible cohort,,42,,35,83.33,,,,,,21,,,,college-reported,SRC012,214,Eligible and placed figures from annual report placement table; internship slots from adjacent table.
