college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
"National Institute of Technology Karnataka, Surathkal",Ather,2024-25,Not specified in annual report,Not specified,Not stated,Recruitment and/or internship,confirmed for year,,,SRC012,"Named among major companies in the 2024-25 official annual report; exact role, branch eligibility and package were not published in the cited section.",B
"National Institute of Technology Karnataka, Surathkal",Bajaj Auto,2024-25,Not specified in annual report,Not specified,Not stated,Recruitment and/or internship,confirmed for year,,,SRC012,"Named among major companies in the 2024-25 official annual report; exact role, branch eligibility and package were not published in the cited section.",B
"National Institute of Technology Karnataka, Surathkal",Bharat Electronics Limited,2024-25,Not specified in annual report,Not specified,Not stated,Recruitment and/or internship,confirmed for year,,,SRC012,"Named among major companies in the 2024-25 official annual report; exact role, branch eligibility and package were not published in the cited section.",B
"National Institute of Technology Karnataka, Surathkal",Biocon,2024-25,Not specified in annual report,Not specified,Not stated,Recruitment and/or internship,confirmed for year,,,SRC012,"Named among major companies in the 2024-25 official annual report; exact role, branch eligibility and package were not published in the cited section.",B
"National Institute of Technology Karnataka, Surathkal",Bharat Petroleum Corporation Limited,2024-25,Not specified in annual report,Not specified,Not stated,Recruitment and/or internship,confirmed for year,,,SRC012,"Named among major companies in the 2024-25 official annual report; exact role, branch eligibility and package were not published in the cited section.",B
"National Institute of Technology Karnataka, Surathkal",C-DOT,2024-25,Not specified in annual report,Not specified,Not stated,Recruitment and/or internship,confirmed for year,,,SRC012,"Named among major companies in the 2024-25 official annual report; exact role, branch eligibility and package were not published in the cited section.",B
"National Institute of Technology Karnataka, Surathkal",Delhivery,2024-25,Not specified in annual report,Not specified,Not stated,Recruitment and/or internship,confirmed for year,,,SRC012,"Named among major companies in the 2024-25 official annual report; exact role, branch eligibility and package were not published in the cited section.",B
"National Institute of Technology Karnataka, Surathkal",Exide,2024-25,Not specified in annual report,Not specified,Not stated,Recruitment and/or internship,confirmed for year,,,SRC012,"Named among major companies in the 2024-25 official annual report; exact role, branch eligibility and package were not published in the cited section.",B
"National Institute of Technology Karnataka, Surathkal",Engineers India Limited,2024-25,Not specified in annual report,Not specified,Not stated,Recruitment and/or internship,confirmed for year,,,SRC012,"Named among major companies in the 2024-25 official annual report; exact role, branch eligibility and package were not published in the cited section.",B
"National Institute of Technology Karnataka, Surathkal",GAIL,2024-25,Not specified in annual report,Not specified,Not stated,Recruitment and/or internship,confirmed for year,,,SRC012,"Named among major companies in the 2024-25 official annual report; exact role, branch eligibility and package were not published in the cited section.",B
