source_id,source_title,url,domain,source_category,source_type,confidence_level,academic_year,publication_date,accessed_date,data_categories,college_campus,notes
SRC001,JoSAA 2026 institute profile and seat matrix,https://josaa.admissions.nic.in/applicant/seatmatrix/InstProfile.aspx?instcd=211,josaa.admissions.nic.in,Tier A - official,official counselling profile,A,2026-27,2026,2026-06-26,identity;admissions;branches;seat_matrix;location;facilities;scholarships,"Main campus, Srinivasnagar, Surathkal, Mangaluru, Karnataka",Institute code 211; regular capacity 956 plus four female supernumerary seats; no branch change after admission.
SRC002,JoSAA opening and closing rank archive,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx,josaa.admissions.nic.in,Tier A - official,official counselling archive,A,2023-2025,,2026-06-26,cutoffs,"Main campus, Srinivasnagar, Surathkal, Mangaluru, Karnataka",OPEN rows use CRL; reserved-category rows use the relevant category rank list.
SRC003,User-supplied verified merged JoSAA cutoff dataset 2018-2025,https://josaa.admissions.nic.in/applicant/seatmatrix/openingclosingrankarchieve.aspx,local attachment / JoSAA,Tier A - official-derived,verified structured extract from official archive,A,2023-2025,,2026-06-26,cutoffs,"Main campus, Srinivasnagar, Surathkal, Mangaluru, Karnataka",Filtered by the exact institution name.
SRC004,CSAB Special 2025 Round 1 opening and closing ranks,https://admissions.nic.in/csabspl/Applicant/SeatAllotmentResult/CurrentORCR.aspx,admissions.nic.in,Tier A - official,official PDF export,A,2025,2026-06-26,2026-06-26,cutoffs,"Main campus, Srinivasnagar, Surathkal, Mangaluru, Karnataka",Attached official export; document states all ranks are All India CRL.
SRC005,CSAB Special 2025 Round 2 opening and closing ranks,https://admissions.nic.in/csabspl/Applicant/SeatAllotmentResult/CurrentORCR.aspx,admissions.nic.in,Tier A - official,official PDF export,A,2025,2026-06-26,2026-06-26,cutoffs,"Main campus, Srinivasnagar, Surathkal, Mangaluru, Karnataka",Attached official export; document states all ranks are All India CRL.
SRC006,CSAB Special 2025 Round 3 opening and closing ranks,https://admissions.nic.in/csabspl/Applicant/SeatAllotmentResult/CurrentORCR.aspx,admissions.nic.in,Tier A - official,official PDF export,A,2025,2026-06-26,2026-06-26,cutoffs,"Main campus, Srinivasnagar, Surathkal, Mangaluru, Karnataka",Attached official export; document states all ranks are All India CRL.
SRC007,NITK official institute website,https://www.nitk.ac.in/,nitk.ac.in,Tier B - institution-controlled,official institution website,B,,,2026-06-26,identity;contact;history,"Main campus, Srinivasnagar, Surathkal, Mangaluru, Karnataka",Official institution name and main campus website.
SRC008,NIRF India Rankings 2025 - Engineering,https://www.nirfindia.org/Rankings/2025/EngineeringRanking.html,nirfindia.org,Tier A - official,government ranking,A,2025,2025,2026-06-26,ranking,"Main campus, Srinivasnagar, Surathkal, Mangaluru, Karnataka","Engineering rank 17, score 64.59, institution ID IR-E-U-0237."
SRC009,NIRF India Rankings 2024 - Engineering,https://www.nirfindia.org/Rankings/2024/EngineeringRanking.html,nirfindia.org,Tier A - official,government ranking,A,2024,2024,2026-06-26,ranking,"Main campus, Srinivasnagar, Surathkal, Mangaluru, Karnataka","Engineering rank 17, score 64.27."
SRC010,NIRF India Rankings 2023 - Engineering,https://www.nirfindia.org/Rankings/2023/EngineeringRanking.html,nirfindia.org,Tier A - official,government ranking,A,2023,2023,2026-06-26,ranking,"Main campus, Srinivasnagar, Surathkal, Mangaluru, Karnataka","Engineering rank 12, score 65.26."
SRC011,NIRF 2025 institution-submitted Engineering data,https://www.nitk.ac.in/document/attachments/8177/Engineering.pdf,nitk.ac.in,Tier A - official submission,institution-submitted NIRF PDF,A,2021-22 to 2023-24,2025,2026-06-26,placements;intake;accreditation,"Main campus, Srinivasnagar, Surathkal, Mangaluru, Karnataka",UG four-year cohort placement and median salary data; states no valid NAAC accreditation.
SRC012,NITK Annual and Audit Report 2024-25,https://www.nitk.ac.in/document/attachments/9369/NITK_Annual____Audit_Report__2024-25.pdf,nitk.ac.in,Tier B - institution-controlled,official annual report,B,2024-25,2026,2026-06-26,placements;recruiters;internships;hostels;clubs;facilities,"Main campus, Srinivasnagar, Surathkal, Mangaluru, Karnataka",Detailed placement figures are as of 1 April 2025; narrative and detailed sections use different scopes.
SRC013,NITK institute fee structure 2026-27,https://www.nitk.ac.in/document/attachments/9831/Fees_Structure_removed.pdf,nitk.ac.in,Tier B - institution-controlled,official fee PDF,B,2026-27,2026,2026-06-26,fees;tuition;institutional_charges,"Main campus, Srinivasnagar, Surathkal, Mangaluru, Karnataka",Eight-semester B.Tech. schedule; institutional hostel rent is included for hostellers.
SRC014,NITK Hostel Trust fee structure 2026-27,https://www.nitk.ac.in/document/attachments/9800/Fee_structure_2026-2027.pdf,nitk.ac.in,Tier B - institution-controlled,official hostel fee PDF,B,2026-27,2026,2026-06-26,hostel;mess;fees,"Main campus, Srinivasnagar, Surathkal, Mangaluru, Karnataka","Mess amounts are advances, not a guaranteed final consumption cost."
SRC015,NITK official NBA accreditation announcement,https://www.nitk.ac.in/all-nine-eligible-btech-programmes-have-been-accredited-by-the-nba,nitk.ac.in,Tier B - institution-controlled,official accreditation announcement,B,2022-23 to 2027-28,2023,2026-06-26,accreditation;programmes,"Main campus, Srinivasnagar, Surathkal, Mangaluru, Karnataka",Seven programmes valid through 30 June 2028; MME and Mining listed only through 30 June 2025.
