college_name,official_branch_name,normalized_branch,degree,duration_years,approved_intake,female_supernumerary_seats,tfws_seats,nba_status,academic_year,source_id
"National Institute of Technology, Rourkela","Architecture (5 Years, Bachelor of Architecture)",Architecture,B.Arch.,5,20,0,,,2026-27,SRC001
"National Institute of Technology, Rourkela","Artificial Intelligence (4 Years, Bachelor of Technology)",AI,B.Tech.,4,45,0,,,2026-27,SRC001
"National Institute of Technology, Rourkela","B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",MnC,B.Tech.,4,28,0,,,2026-27,SRC001
"National Institute of Technology, Rourkela","Bio Medical Engineering (4 Years, Bachelor of Technology)",Biomedical Engineering,B.Tech.,4,35,0,,Programme data listed on official NBA page; validity requires manual verification,2026-27,SRC001;SRC014
"National Institute of Technology, Rourkela","Bio Technology (4 Years, Bachelor of Technology)",Biotechnology,B.Tech.,4,35,0,,Programme data listed on official NBA page; validity requires manual verification,2026-27,SRC001;SRC014
"National Institute of Technology, Rourkela","Ceramic Engineering (4 Years, Bachelor of Technology)",Ceramic Engineering,B.Tech.,4,40,0,,Programme data listed on official NBA page; validity requires manual verification,2026-27,SRC001;SRC014
"National Institute of Technology, Rourkela","Ceramic Engineering and M.Tech Industrial Ceramic (5 Years, Bachelor and Master of Technology (Dual Degree))",Ceramic Engineering + Industrial Ceramic Dual,B.Tech + M.Tech (Dual Degree),5,13,0,,Programme data listed on official NBA page; validity requires manual verification,2026-27,SRC001;SRC014
"National Institute of Technology, Rourkela","Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,B.Tech.,4,63,0,,Programme data listed on official NBA page; validity requires manual verification,2026-27,SRC001;SRC014
"National Institute of Technology, Rourkela","Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Chemical Engineering Dual,B.Tech + M.Tech (Dual Degree),5,12,0,,Programme data listed on official NBA page; validity requires manual verification,2026-27,SRC001;SRC014
"National Institute of Technology, Rourkela","Chemistry (5 Years, Integrated Master of Science)",Chemistry Integrated MSc,Integrated M.Sc.,5,22,0,,,2026-27,SRC001
"National Institute of Technology, Rourkela","Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,B.Tech.,4,72,0,,Programme data listed on official NBA page; validity requires manual verification,2026-27,SRC001;SRC014
"National Institute of Technology, Rourkela","Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,B.Tech.,4,113,0,,,2026-27,SRC001
"National Institute of Technology, Rourkela","Electrical Engineering (4 Years, Bachelor of Technology)",EE,B.Tech.,4,113,0,,Programme data listed on official NBA page; validity requires manual verification,2026-27,SRC001;SRC014
"National Institute of Technology, Rourkela","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,B.Tech.,4,56,0,,,2026-27,SRC001
"National Institute of Technology, Rourkela","Electronics and Instrumentation Engineering (4 Years, Bachelor of Technology)",EIE,B.Tech.,4,56,0,,,2026-27,SRC001
"National Institute of Technology, Rourkela","Engineering Physics (4 Years, Bachelor of Technology)",Engineering Physics,B.Tech.,4,26,0,,,2026-27,SRC001
"National Institute of Technology, Rourkela","Food Process Engineering (4 Years, Bachelor of Technology)",Food Process Engineering,B.Tech.,4,30,0,,,2026-27,SRC001
"National Institute of Technology, Rourkela","Industrial Design (4 Years, Bachelor of Technology)",Industrial Design,B.Tech.,4,28,0,,Programme data listed on official NBA page; validity requires manual verification,2026-27,SRC001;SRC014
"National Institute of Technology, Rourkela","Life Science (5 Years, Integrated Master of Science)",Life Science Integrated MSc,Integrated M.Sc.,5,20,0,,,2026-27,SRC001
"National Institute of Technology, Rourkela","Mechanical Engineering (4 Years, Bachelor of Technology)",Mechanical Engineering,B.Tech.,4,113,0,,Programme data listed on official NBA page; validity requires manual verification,2026-27,SRC001;SRC014
"National Institute of Technology, Rourkela","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",MME,B.Tech.,4,60,0,,Programme data listed on official NBA page; validity requires manual verification,2026-27,SRC001;SRC014
"National Institute of Technology, Rourkela","Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",MME Dual,B.Tech + M.Tech (Dual Degree),5,13,0,,Programme data listed on official NBA page; validity requires manual verification,2026-27,SRC001;SRC014
"National Institute of Technology, Rourkela","Mining Engineering (4 Years, Bachelor of Technology)",Mining Engineering,B.Tech.,4,38,0,,Programme data listed on official NBA page; validity requires manual verification,2026-27,SRC001;SRC014
"National Institute of Technology, Rourkela","Mining Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",Mining Engineering Dual,B.Tech + M.Tech (Dual Degree),5,12,0,,Programme data listed on official NBA page; validity requires manual verification,2026-27,SRC001;SRC014
