college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
"National Institute of Technology, Rourkela",Webwiz,Technical,Official / SAC-listed,Web development and internet products,https://sac.nitrkl.ac.in/Club,,,,Not published consistently; verify through current SAC notice/club page,recently listed; activity recency unable to verify,SRC018,2026-06-26
"National Institute of Technology, Rourkela",3D Technical Club,Technical,Official / SAC-listed,"Data, design and development",https://sac.nitrkl.ac.in/Club,,,,Not published consistently; verify through current SAC notice/club page,recently listed; activity recency unable to verify,SRC018,2026-06-26
"National Institute of Technology, Rourkela",AIChE,Technical / chemical engineering,Official / SAC-listed,Chemical engineering student chapter,https://sac.nitrkl.ac.in/Club,,,,Not published consistently; verify through current SAC notice/club page,recently listed; activity recency unable to verify,SRC018,2026-06-26
"National Institute of Technology, Rourkela",ASME,Technical / mechanical engineering,Official / SAC-listed,Mechanical engineering innovation,https://sac.nitrkl.ac.in/Club,,,,Not published consistently; verify through current SAC notice/club page,recently listed; activity recency unable to verify,SRC018,2026-06-26
"National Institute of Technology, Rourkela",Axiom,Technical / mathematics,Official / SAC-listed,Mathematics activities,https://sac.nitrkl.ac.in/Club,,,,Not published consistently; verify through current SAC notice/club page,recently listed; activity recency unable to verify,SRC018,2026-06-26
"National Institute of Technology, Rourkela",CEST,Technical / civil engineering,Official / SAC-listed,Civil engineering student technical activities,https://sac.nitrkl.ac.in/Club,,,,Not published consistently; verify through current SAC notice/club page,recently listed; activity recency unable to verify,SRC018,2026-06-26
"National Institute of Technology, Rourkela",CYBORG,Technical / robotics and AI,Official / SAC-listed,Robotics and intelligent systems,https://sac.nitrkl.ac.in/Club,,,,Not published consistently; verify through current SAC notice/club page,recently listed; activity recency unable to verify,SRC018,2026-06-26
"National Institute of Technology, Rourkela",E-cell,Entrepreneurship,Official / SAC-listed,Entrepreneurship and startup development,https://sac.nitrkl.ac.in/Club,,,,Not published consistently; verify through current SAC notice/club page,recently listed; activity recency unable to verify,SRC018,2026-06-26
"National Institute of Technology, Rourkela",Finance Club,Finance and literacy,Official / SAC-listed,Financial literacy and awareness,https://sac.nitrkl.ac.in/Club,,,,Not published consistently; verify through current SAC notice/club page,recently listed; activity recency unable to verify,SRC018,2026-06-26
"National Institute of Technology, Rourkela",IIChE NITR,Technical / chemical engineering,Official / SAC-listed,Indian Institute of Chemical Engineers student activities,https://sac.nitrkl.ac.in/Club,,,,Not published consistently; verify through current SAC notice/club page,recently listed; activity recency unable to verify,SRC018,2026-06-26
"National Institute of Technology, Rourkela",InCerS NITR,Technical / ceramic engineering,Official / SAC-listed,Ceramic engineering professional activities,https://sac.nitrkl.ac.in/Club,,,,Not published consistently; verify through current SAC notice/club page,recently listed; activity recency unable to verify,SRC018,2026-06-26
"National Institute of Technology, Rourkela",OpenCode,Technical / open source,Official / SAC-listed,Open-source development,https://sac.nitrkl.ac.in/Club,,,,Not published consistently; verify through current SAC notice/club page,recently listed; activity recency unable to verify,SRC018,2026-06-26
"National Institute of Technology, Rourkela",SAE,Technical / automotive,Official / SAC-listed,Automotive design and build activities,https://sac.nitrkl.ac.in/Club,,,,Not published consistently; verify through current SAC notice/club page,recently listed; activity recency unable to verify,SRC018,2026-06-26
"National Institute of Technology, Rourkela",Short-Circuit,Technical / electrical,Official / SAC-listed,Electrical engineering activities,https://sac.nitrkl.ac.in/Club,,,,Not published consistently; verify through current SAC notice/club page,recently listed; activity recency unable to verify,SRC018,2026-06-26
"National Institute of Technology, Rourkela",The Bioscience Society,Technical / bioscience,Official / SAC-listed,Bioscience learning and events,https://sac.nitrkl.ac.in/Club,,,,Not published consistently; verify through current SAC notice/club page,recently listed; activity recency unable to verify,SRC018,2026-06-26
"National Institute of Technology, Rourkela",Cinematics,Film and media,Official / SAC-listed,Official filmmaking and creative media body,https://sac.nitrkl.ac.in/Club,,,,Not published consistently; verify through current SAC notice/club page,recently listed; activity recency unable to verify,SRC018,2026-06-26
"National Institute of Technology, Rourkela",Euphony,Music,Official / SAC-listed,Music performance and practice,https://sac.nitrkl.ac.in/Club,,,,Not published consistently; verify through current SAC notice/club page,recently listed; activity recency unable to verify,SRC018,2026-06-26
"National Institute of Technology, Rourkela",Hourglass,Literary / public speaking,Official / SAC-listed,Public speaking and leadership,https://sac.nitrkl.ac.in/Club,,,,Not published consistently; verify through current SAC notice/club page,recently listed; activity recency unable to verify,SRC018,2026-06-26
"National Institute of Technology, Rourkela",SYNERGY,Dance,Official / SAC-listed,Dance club covering multiple styles,https://sac.nitrkl.ac.in/Club,,,,Not published consistently; verify through current SAC notice/club page,recently listed; activity recency unable to verify,SRC018,2026-06-26
"National Institute of Technology, Rourkela",Third Eye,Photography,Official / SAC-listed,Photography and visual storytelling,https://sac.nitrkl.ac.in/Club,,,,Not published consistently; verify through current SAC notice/club page,recently listed; activity recency unable to verify,SRC018,2026-06-26
