college_name,placement_year,programme,branch,record_scope,graduating_students,eligible_students,registered_students,students_placed,placement_percentage,higher_studies_count,median_package_lpa,average_package_lpa,highest_domestic_package_lpa,highest_international_package_lpa,internship_count,ppo_count,average_stipend,highest_stipend,source_type,source_id,source_page,notes
"National Institute of Technology, Rourkela",2021-22,UG 4-year programmes,All UG 4-year,overall - NIRF graduating cohort,712,,,640,89.89,15,10.0,,,,,,,,NIRF-reported,SRC011,2,Placement percentage calculated from NIRF students placed divided by students graduating in minimum stipulated time.
"National Institute of Technology, Rourkela",2022-23,UG 4-year programmes,All UG 4-year,overall - NIRF graduating cohort,910,,,795,87.36,40,12.5,,,,,,,,NIRF-reported,SRC011,2,Placement percentage calculated from NIRF students placed divided by students graduating in minimum stipulated time.
"National Institute of Technology, Rourkela",2023-24,UG 4-year programmes,All UG 4-year,overall - NIRF graduating cohort,1011,,,821,81.21,128,15.25,,,,,,,,NIRF-reported,SRC011,2,Placement percentage calculated from NIRF students placed divided by students graduating in minimum stipulated time.
"National Institute of Technology, Rourkela",2024-25,All programmes,Overall,overall - institution annual report,,,,1157,75.82,,,13.05,62.44,,570,,,,college-reported,SRC012,64,"Detailed CDC narrative: over 1,157 students secured offers; over 1,258 job offers; figures are not a single audited cohort table. Highest package from annual-report overview."
"National Institute of Technology, Rourkela",2024-25,B.Tech.,All B.Tech.,overall B.Tech. - institution annual report,1061,,,,89.23,,,14.05,62.44,,,,,,college-reported,SRC012,13,Placement percentage denominator is not explicitly defined in the narrative; students_placed left null.
"National Institute of Technology, Rourkela",2024-25,B.Tech.,Electronics and Communication Engineering,branch-specific,,,,,,,,20.82,,,,,,,college-reported,SRC012,64,Average CTC from CDC narrative.
"National Institute of Technology, Rourkela",2024-25,B.Tech.,Computer Science and Engineering,branch-specific,,,,,,,,19.57,,,,,,,college-reported,SRC012,64,Average CTC from CDC narrative.
"National Institute of Technology, Rourkela",2024-25,B.Tech.,Biotechnology Engineering,branch-specific,,,,,,,,17.41,,,,,,,college-reported,SRC012,64,Average CTC from CDC narrative.
"National Institute of Technology, Rourkela",2024-25,B.Tech.,Ceramic Engineering,branch-specific,,,,,,,,,,,,,,,college-reported,SRC012,64,"Annual report states placement rate exceeded 97%, but does not provide exact value in narrative."
"National Institute of Technology, Rourkela",2024-25,B.Tech.,Electronics and Instrumentation Engineering,branch-specific,,,,,,,,,,,,,,,college-reported,SRC012,64,"Annual report states placement rate exceeded 97%, but does not provide exact value in narrative."
