college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
"National Institute of Technology, Rourkela",Texas Instruments,2024-25,Not specified in report,electronics/VLSI,Not stated,2-month internship,confirmed for year,16,,SRC012,Annual Report 2024-25 PDF p.447: Listed in practical training/internship annexure with sponsored count.,B
"National Institute of Technology, Rourkela",Microsoft,2024-25,Not specified in report,software engineering,Not stated,2-month internship,confirmed for year,7,,SRC012,Annual Report 2024-25 PDF p.447: Listed in practical training/internship annexure with sponsored count.,B
"National Institute of Technology, Rourkela",NXP Semiconductors,2024-25,Not specified in report,electronics/VLSI,Not stated,long internship,confirmed for year,1,,SRC012,Annual Report 2024-25 PDF p.447: Listed in practical training/internship annexure with sponsored count.,B
"National Institute of Technology, Rourkela",CRED,2024-25,Not specified in report,software/fintech,Not stated,6-month and 2-month internships,confirmed for year,2,,SRC012,Annual Report 2024-25 PDF p.447: Listed in practical training/internship annexure with sponsored count.,B
"National Institute of Technology, Rourkela",BNY,2024-25,Not specified in report,finance/technology,Not stated,2-month internship,confirmed for year,4,,SRC012,Annual Report 2024-25 PDF p.447: Listed in practical training/internship annexure with sponsored count.,B
"National Institute of Technology, Rourkela",Microchip Technology,2024-25,Not specified in report,electronics/VLSI,Not stated,long internship,confirmed for year,2,,SRC012,Annual Report 2024-25 PDF p.447: Listed in practical training/internship annexure with sponsored count.,B
"National Institute of Technology, Rourkela",NVIDIA,2024-25,Not specified in report,electronics/VLSI,Not stated,long internship,confirmed for year,2,,SRC012,Annual Report 2024-25 PDF p.447: Listed in practical training/internship annexure with sponsored count.,B
"National Institute of Technology, Rourkela",VISA,2024-25,Not specified in report,software/fintech,Not stated,2-month internship,confirmed for year,5,,SRC012,Annual Report 2024-25 PDF p.447: Listed in practical training/internship annexure with sponsored count.,B
"National Institute of Technology, Rourkela",GE Healthcare,2024-25,Not specified in report,healthcare technology,Not stated,2-month internship,confirmed for year,3,,SRC012,Annual Report 2024-25 PDF p.447: Listed in practical training/internship annexure with sponsored count.,B
"National Institute of Technology, Rourkela",ExxonMobil,2024-25,Not specified in report,energy/core,Not stated,2-month internship,confirmed for year,1,,SRC012,Annual Report 2024-25 PDF p.447: Listed in practical training/internship annexure with sponsored count.,B
"National Institute of Technology, Rourkela",NatWest,2024-25,Not specified in report,finance/technology,Not stated,2-month internship,confirmed for year,1,,SRC012,Annual Report 2024-25 PDF p.447: Listed in practical training/internship annexure with sponsored count.,B
"National Institute of Technology, Rourkela",Qualcomm,2024-25,Not specified in report,electronics/VLSI,Not stated,long and 2-month internships,confirmed for year,18,,SRC012,Annual Report 2024-25 PDF p.447: Listed in practical training/internship annexure with sponsored count.,B
"National Institute of Technology, Rourkela",Google,2024-25,Not specified in report,software engineering,Not stated,2-month internship,confirmed for year,2,,SRC012,Annual Report 2024-25 PDF p.447: Listed in practical training/internship annexure with sponsored count.,B
"National Institute of Technology, Rourkela",Tata Steel,2024-25,Not specified in report,metallurgy/core,Not stated,2-month internship,confirmed for year,9,,SRC012,Annual Report 2024-25 PDF p.447: Listed in practical training/internship annexure with sponsored count.,B
"National Institute of Technology, Rourkela",Warner Bros Discovery,2024-25,Not specified in report,software/media technology,Not stated,long internship,confirmed for year,2,,SRC012,Annual Report 2024-25 PDF p.447: Listed in practical training/internship annexure with sponsored count.,B
"National Institute of Technology, Rourkela",Google,2024-25,Not specified,software engineering,Not stated,full-time,campus,3,62.44 LPA,SRC012,Annual Report 2024-25 PDF p.456: Placement table row dated 01-Aug-2024.,B
"National Institute of Technology, Rourkela",Qualcomm,2024-25,Not specified,electronics/VLSI,Not stated,PPO,campus,22,31.05 LPA,SRC012,Annual Report 2024-25 PDF p.456: Placement table PPO row.,B
"National Institute of Technology, Rourkela",Wells Fargo,2024-25,Not specified,finance/technology,Not stated,PPO,campus,10,24 LPA,SRC012,Annual Report 2024-25 PDF p.456: Placement table PPO row.,B
"National Institute of Technology, Rourkela",American Express,2024-25,Not specified,finance/technology,Not stated,full-time,campus,5,17.92 LPA,SRC012,Annual Report 2024-25 PDF p.456: Placement table row.,B
"National Institute of Technology, Rourkela",Hindustan Unilever,2024-25,Not specified,operations/FMCG,Not stated,full-time,campus,,20.5 LPA,SRC012,Annual Report 2024-25 PDF p.457: Placement table row.,B
"National Institute of Technology, Rourkela",Amdocs,2024-25,Not specified,software engineering,Not stated,full-time,campus,,10 LPA,SRC012,Annual Report 2024-25 PDF p.457: Placement table row.,B
"National Institute of Technology, Rourkela",Alstom,2024-25,Not specified,electrical/core,Not stated,full-time,campus,,8.55 LPA,SRC012,Annual Report 2024-25 PDF p.457: Placement table row.,B
"National Institute of Technology, Rourkela",Afcons,2024-25,Not specified,civil/core,Not stated,full-time,campus,,6.6 LPA,SRC012,Annual Report 2024-25 PDF p.457: Placement table row.,B
"National Institute of Technology, Rourkela",Tata Steel,2024-25,Not specified,metallurgy/core,Not stated,PPO,campus,,12.18 LPA,SRC012,Annual Report 2024-25 PDF p.457: Placement table PPO row.,B
"National Institute of Technology, Rourkela",Cairn Oil & Gas,2024-25,Not specified,energy/core,Not stated,PPO,campus,,14.1 LPA,SRC012,Annual Report 2024-25 PDF p.457: Placement table PPO row.,B
"National Institute of Technology, Rourkela",Infosys,2024-25,Not specified,software engineering,Not stated,full-time,campus,,9 LPA,SRC012,Annual Report 2024-25 PDF p.457: Placement table row.,B
"National Institute of Technology, Rourkela",Samsung Semiconductor India Research,2024-25,Not specified,electronics/VLSI,Not stated,full-time,campus,,23.23 LPA,SRC012,Annual Report 2024-25 PDF p.457: Placement table row.,B
"National Institute of Technology, Rourkela",Ather Energy,2024-25,Not specified,automotive/electrical,Not stated,full-time,campus,,12 LPA,SRC012,Annual Report 2024-25 PDF p.457: Placement table row.,B
"National Institute of Technology, Rourkela",Amazon,2024-25,Not specified,software engineering,Not stated,PPO,campus,,46.38 LPA,SRC012,Annual Report 2024-25 PDF p.462: Placement table PPO row.,B
"National Institute of Technology, Rourkela",CRED,2024-25,Not specified,software/fintech,Not stated,full-time/PPO,campus,,58 LPA,SRC012,Annual Report 2024-25 PDF p.462: Placement table row.,B
