college_name,official_branch_name,normalized_branch,degree,duration_years,approved_intake,female_supernumerary_seats,tfws_seats,nba_status,academic_year,source_id
"National Institute of Technology, Tiruchirappalli","Chemical Engineering (4 Years, Bachelor of Technology)",CHE,B.Tech,4,79,0,,,2026-27,SRC001
"National Institute of Technology, Tiruchirappalli","Civil Engineering (4 Years, Bachelor of Technology)",CE,B.Tech,4,118,0,,,2026-27,SRC001
"National Institute of Technology, Tiruchirappalli","Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,B.Tech,4,119,0,,,2026-27,SRC001
"National Institute of Technology, Tiruchirappalli","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,B.Tech,4,117,0,,,2026-27,SRC001
"National Institute of Technology, Tiruchirappalli","Mechanical Engineering (4 Years, Bachelor of Technology)",ME,B.Tech,4,118,0,,Accredited 2023-2028,2026-27,SRC001;SRC013
"National Institute of Technology, Tiruchirappalli","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",MME,B.Tech,4,79,0,,,2026-27,SRC001
"National Institute of Technology, Tiruchirappalli","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EEE,B.Tech,4,116,0,,,2026-27,SRC001
"National Institute of Technology, Tiruchirappalli","Production Engineering (4 Years, Bachelor of Technology)",PE,B.Tech,4,118,0,,,2026-27,SRC001
"National Institute of Technology, Tiruchirappalli","Instrumentation and Control Engineering (4 Years, Bachelor of Technology)",ICE,B.Tech,4,117,0,,,2026-27,SRC001
"National Institute of Technology, Tiruchirappalli","Architecture (5 Years, Bachelor of Architecture)",ARCH,B.Arch,5,57,0,,,2026-27,SRC001
