college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
"National Institute of Technology, Tiruchirappalli",180 Degrees Consulting / Sigma / ProffNITT,Technical / professional,Officially listed with faculty advisor for 2025-2027,Officially listed student club/group.,https://www.nitt.edu/home/students/clubsnassocs/,Current official roster verified; specific latest public activity not systematically verified,2025-07-25,,,officially listed; activity frequency needs manual verification,SRC022;SRC023,2026-06-26
"National Institute of Technology, Tiruchirappalli",PSI Racing,Technical / automotive,Officially listed with faculty advisor for 2025-2027,Student automotive team.,https://www.nitt.edu/home/students/clubsnassocs/,Current official roster verified; specific latest public activity not systematically verified,2025-07-25,,,officially listed; activity frequency needs manual verification,SRC022;SRC023,2026-06-26
"National Institute of Technology, Tiruchirappalli",E-Cell & EVER,Entrepreneurship,Officially listed with faculty advisor for 2025-2027,Entrepreneurship and venture-oriented student group.,https://www.nitt.edu/home/students/clubsnassocs/,Current official roster verified; specific latest public activity not systematically verified,2025-07-25,,,officially listed; activity frequency needs manual verification,SRC022;SRC023,2026-06-26
"National Institute of Technology, Tiruchirappalli",RMI,Robotics / technical,Officially listed with faculty advisor for 2025-2027,Robotics and machine-intelligence oriented group.,https://www.nitt.edu/home/students/clubsnassocs/,Current official roster verified; specific latest public activity not systematically verified,2025-07-25,,,officially listed; activity frequency needs manual verification,SRC022;SRC023,2026-06-26
"National Institute of Technology, Tiruchirappalli",Designer's Consortium,Product design,Officially listed with faculty advisor for 2025-2027,Official product-design club.,https://www.nitt.edu/home/students/clubsnassocs/,Current official roster verified; specific latest public activity not systematically verified,2025-07-25,,,officially listed; activity frequency needs manual verification,SRC022;SRC023,2026-06-26
"National Institute of Technology, Tiruchirappalli",Maximus,Technical,Officially listed with faculty advisor for 2025-2027,Officially listed student club/group.,https://www.nitt.edu/home/students/clubsnassocs/,Current official roster verified; specific latest public activity not systematically verified,2025-07-25,,,officially listed; activity frequency needs manual verification,SRC022;SRC023,2026-06-26
"National Institute of Technology, Tiruchirappalli",Spider R&D,Technical / computing,Officially listed with faculty advisor for 2025-2027,Research and development technical club.,https://www.nitt.edu/home/students/clubsnassocs/,Current official roster verified; specific latest public activity not systematically verified,2025-07-25,,,officially listed; activity frequency needs manual verification,SRC022;SRC023,2026-06-26
"National Institute of Technology, Tiruchirappalli",3D Aeromodelling,Technical / aerospace,Officially listed with faculty advisor for 2025-2027,Officially listed student club/group.,https://www.nitt.edu/home/students/clubsnassocs/,Current official roster verified; specific latest public activity not systematically verified,2025-07-25,,,officially listed; activity frequency needs manual verification,SRC022;SRC023,2026-06-26
"National Institute of Technology, Tiruchirappalli",Nakshatra,Astronomy / science,Officially listed with faculty advisor for 2025-2027,Officially listed student club/group.,https://www.nitt.edu/home/students/clubsnassocs/,Current official roster verified; specific latest public activity not systematically verified,2025-07-25,,,officially listed; activity frequency needs manual verification,SRC022;SRC023,2026-06-26
"National Institute of Technology, Tiruchirappalli",Graphique,Graphic design,Officially listed with faculty advisor for 2025-2027,Official graphic-design group supporting institute and fest communications.,https://www.nitt.edu/home/students/clubsnassocs/,Current official roster verified; specific latest public activity not systematically verified,2025-07-25,,,officially listed; activity frequency needs manual verification,SRC022;SRC023,2026-06-26
"National Institute of Technology, Tiruchirappalli",Delta Force,Software / web development,Officially listed with faculty advisor for 2025-2027,Software/web-development technical group.,https://www.nitt.edu/home/students/clubsnassocs/,Current official roster verified; specific latest public activity not systematically verified,2025-07-25,,,officially listed; activity frequency needs manual verification,SRC022;SRC023,2026-06-26
"National Institute of Technology, Tiruchirappalli",Music Troupe & Amruthavarshini,Music,Officially listed with faculty advisor for 2025-2027,Official music groups.,https://www.nitt.edu/home/students/clubsnassocs/,Current official roster verified; specific latest public activity not systematically verified,2025-07-25,,,officially listed; activity frequency needs manual verification,SRC022;SRC023,2026-06-26
"National Institute of Technology, Tiruchirappalli",Lakshya,Cultural,Officially listed with faculty advisor for 2025-2027,Officially listed student club/group.,https://www.nitt.edu/home/students/clubsnassocs/,Current official roster verified; specific latest public activity not systematically verified,2025-07-25,,,officially listed; activity frequency needs manual verification,SRC022;SRC023,2026-06-26
"National Institute of Technology, Tiruchirappalli",Tamil Mandram,Language / cultural,Officially listed with faculty advisor for 2025-2027,Officially listed student club/group.,https://www.nitt.edu/home/students/clubsnassocs/,Current official roster verified; specific latest public activity not systematically verified,2025-07-25,,,officially listed; activity frequency needs manual verification,SRC022;SRC023,2026-06-26
"National Institute of Technology, Tiruchirappalli",SPIC MACAY,Culture / classical arts,Officially listed with faculty advisor for 2025-2027,Officially listed student club/group.,https://www.nitt.edu/home/students/clubsnassocs/,Current official roster verified; specific latest public activity not systematically verified,2025-07-25,,,officially listed; activity frequency needs manual verification,SRC022;SRC023,2026-06-26
"National Institute of Technology, Tiruchirappalli",The Thespians Society,Theatre,Officially listed with faculty advisor for 2025-2027,Theatre and dramatics group.,https://www.nitt.edu/home/students/clubsnassocs/,Current official roster verified; specific latest public activity not systematically verified,2025-07-25,,,officially listed; activity frequency needs manual verification,SRC022;SRC023,2026-06-26
"National Institute of Technology, Tiruchirappalli",Fine Arts,Visual arts,Officially listed with faculty advisor for 2025-2027,Officially listed student club/group.,https://www.nitt.edu/home/students/clubsnassocs/,Current official roster verified; specific latest public activity not systematically verified,2025-07-25,,,officially listed; activity frequency needs manual verification,SRC022;SRC023,2026-06-26
"National Institute of Technology, Tiruchirappalli",Dance Troupe,Dance,Officially listed with faculty advisor for 2025-2027,Officially listed student club/group.,https://www.nitt.edu/home/students/clubsnassocs/,Current official roster verified; specific latest public activity not systematically verified,2025-07-25,,,officially listed; activity frequency needs manual verification,SRC022;SRC023,2026-06-26
"National Institute of Technology, Tiruchirappalli",TEDx NIT Trichy,Ideas / events,Officially listed with faculty advisor for 2025-2027,Student team organising TEDx-format events.,https://www.nitt.edu/home/students/clubsnassocs/,Current official roster verified; specific latest public activity not systematically verified,2025-07-25,,,officially listed; activity frequency needs manual verification,SRC022;SRC023,2026-06-26
"National Institute of Technology, Tiruchirappalli",Aayaam,Hindi literary / cultural,Officially listed with faculty advisor for 2025-2027,Officially listed student club/group.,https://www.nitt.edu/home/students/clubsnassocs/,Current official roster verified; specific latest public activity not systematically verified,2025-07-25,,,officially listed; activity frequency needs manual verification,SRC022;SRC023,2026-06-26
