college_name,placement_year,programme,branch,record_scope,graduating_students,eligible_students,registered_students,students_placed,placement_percentage,higher_studies_count,median_package_lpa,average_package_lpa,highest_domestic_package_lpa,highest_international_package_lpa,internship_count,ppo_count,average_stipend,highest_stipend,source_type,source_id,source_page,notes
"National Institute of Technology, Tiruchirappalli",2021-22,B.Tech / UG engineering,Civil,branch-specific registered students,,,,,77.3,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2022-23,B.Tech / UG engineering,Civil,branch-specific registered students,,,,,79.8,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2023-24,B.Tech / UG engineering,Civil,branch-specific registered students,,,,,76.2,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2021-22,B.Tech / UG engineering,CSE,branch-specific registered students,,,,,98.0,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2022-23,B.Tech / UG engineering,CSE,branch-specific registered students,,,,,95.6,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2023-24,B.Tech / UG engineering,CSE,branch-specific registered students,,,,,96.9,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2021-22,B.Tech / UG engineering,EEE,branch-specific registered students,,,,,93.7,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2022-23,B.Tech / UG engineering,EEE,branch-specific registered students,,,,,97.3,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2023-24,B.Tech / UG engineering,EEE,branch-specific registered students,,,,,92.9,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2021-22,B.Tech / UG engineering,ECE,branch-specific registered students,,,,,89.0,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2022-23,B.Tech / UG engineering,ECE,branch-specific registered students,,,,,97.6,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2023-24,B.Tech / UG engineering,ECE,branch-specific registered students,,,,,87.7,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2021-22,B.Tech / UG engineering,Mechanical,branch-specific registered students,,,,,90.8,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2022-23,B.Tech / UG engineering,Mechanical,branch-specific registered students,,,,,90.1,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2023-24,B.Tech / UG engineering,Mechanical,branch-specific registered students,,,,,90.6,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2021-22,B.Tech / UG engineering,MME,branch-specific registered students,,,,,83.3,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2022-23,B.Tech / UG engineering,MME,branch-specific registered students,,,,,81.7,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2023-24,B.Tech / UG engineering,MME,branch-specific registered students,,,,,79.0,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2021-22,B.Tech / UG engineering,Production,branch-specific registered students,,,,,91.0,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2022-23,B.Tech / UG engineering,Production,branch-specific registered students,,,,,85.9,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2023-24,B.Tech / UG engineering,Production,branch-specific registered students,,,,,87.2,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2021-22,B.Tech / UG engineering,ICE,branch-specific registered students,,,,,96.6,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2022-23,B.Tech / UG engineering,ICE,branch-specific registered students,,,,,86.7,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2023-24,B.Tech / UG engineering,ICE,branch-specific registered students,,,,,90.7,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2021-22,B.Tech / UG engineering,Chemical,branch-specific registered students,,,,,91.1,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2022-23,B.Tech / UG engineering,Chemical,branch-specific registered students,,,,,92.6,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2023-24,B.Tech / UG engineering,Chemical,branch-specific registered students,,,,,92.0,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2021-22,B.Tech / UG engineering,Overall UG,overall UG registered students,,,,,90.9,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2022-23,B.Tech / UG engineering,Overall UG,overall UG registered students,,,,,90.6,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2023-24,B.Tech / UG engineering,Overall UG,overall UG registered students,,,,,88.9,,,,,,,,,,institution-published placement-cell statistic,SRC017,,Percentage denominator is registered students; counts and package values are not stated on this page.
"National Institute of Technology, Tiruchirappalli",2021-22,UG 4-year programmes,All 4-year UG programmes,overall UG four-year NIRF cohort,865,,,645,74.57,133,12.0,,,,,,,,official NIRF institution submission; placement percentage calculated,SRC012,1,Placement percentage calculated as placed / graduating in minimum stipulated time; higher-studies students shown separately.
"National Institute of Technology, Tiruchirappalli",2022-23,UG 4-year programmes,All 4-year UG programmes,overall UG four-year NIRF cohort,1075,,,853,79.35,142,15.76,,,,,,,,official NIRF institution submission; placement percentage calculated,SRC012,1,Placement percentage calculated as placed / graduating in minimum stipulated time; higher-studies students shown separately.
"National Institute of Technology, Tiruchirappalli",2023-24,UG 4-year programmes,All 4-year UG programmes,overall UG four-year NIRF cohort,1029,,,791,76.87,158,14.35,,,,,,,,official NIRF institution submission; placement percentage calculated,SRC012,1,Placement percentage calculated as placed / graduating in minimum stipulated time; higher-studies students shown separately.
