college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
"National Institute of Technology, Tiruchirappalli",Meta,2025-26 brochure,,Software / technology,,campus recruitment / brochure-listed,Officially listed in placement brochure; actual current drive not independently verified,,,SRC018,"Company logo appears in official UG Placement Brochure 2025-26, recruiter pages 17-18.",B
"National Institute of Technology, Tiruchirappalli",Texas Instruments,2025-26 brochure,,Semiconductor / electronics,,campus recruitment / brochure-listed,Officially listed in placement brochure; actual current drive not independently verified,,,SRC018,"Company logo appears in official UG Placement Brochure 2025-26, recruiter pages 17-18.",B
"National Institute of Technology, Tiruchirappalli",Qualcomm,2025-26 brochure,,Semiconductor / electronics,,campus recruitment / brochure-listed,Officially listed in placement brochure; actual current drive not independently verified,,,SRC018,"Company logo appears in official UG Placement Brochure 2025-26, recruiter pages 17-18.",B
"National Institute of Technology, Tiruchirappalli",Salesforce,2025-26 brochure,,Software / technology,,campus recruitment / brochure-listed,Officially listed in placement brochure; actual current drive not independently verified,,,SRC018,"Company logo appears in official UG Placement Brochure 2025-26, recruiter pages 17-18.",B
"National Institute of Technology, Tiruchirappalli",Deutsche Bank,2025-26 brochure,,Banking / technology,,campus recruitment / brochure-listed,Officially listed in placement brochure; actual current drive not independently verified,,,SRC018,"Company logo appears in official UG Placement Brochure 2025-26, recruiter pages 17-18.",B
"National Institute of Technology, Tiruchirappalli",HP,2025-26 brochure,,Software / hardware,,campus recruitment / brochure-listed,Officially listed in placement brochure; actual current drive not independently verified,,,SRC018,"Company logo appears in official UG Placement Brochure 2025-26, recruiter pages 17-18.",B
"National Institute of Technology, Tiruchirappalli",NXP Semiconductors,2025-26 brochure,,Semiconductor / electronics,,campus recruitment / brochure-listed,Officially listed in placement brochure; actual current drive not independently verified,,,SRC018,"Company logo appears in official UG Placement Brochure 2025-26, recruiter pages 17-18.",B
"National Institute of Technology, Tiruchirappalli",IBM,2025-26 brochure,,Software / consulting,,campus recruitment / brochure-listed,Officially listed in placement brochure; actual current drive not independently verified,,,SRC018,"Company logo appears in official UG Placement Brochure 2025-26, recruiter pages 17-18.",B
"National Institute of Technology, Tiruchirappalli",ICICI Bank,2025-26 brochure,,Banking / finance,,campus recruitment / brochure-listed,Officially listed in placement brochure; actual current drive not independently verified,,,SRC018,"Company logo appears in official UG Placement Brochure 2025-26, recruiter pages 17-18.",B
"National Institute of Technology, Tiruchirappalli",Apple,2025-26 brochure,,Software / hardware,,campus recruitment / brochure-listed,Officially listed in placement brochure; actual current drive not independently verified,,,SRC018,"Company logo appears in official UG Placement Brochure 2025-26, recruiter pages 17-18.",B
"National Institute of Technology, Tiruchirappalli",Adani Ports and Logistics,2025-26 brochure,,Infrastructure / operations,,campus recruitment / brochure-listed,Officially listed in placement brochure; actual current drive not independently verified,,,SRC018,"Company logo appears in official UG Placement Brochure 2025-26, recruiter pages 17-18.",B
"National Institute of Technology, Tiruchirappalli",Procter & Gamble,2025-26 brochure,,FMCG / operations,,campus recruitment / brochure-listed,Officially listed in placement brochure; actual current drive not independently verified,,,SRC018,"Company logo appears in official UG Placement Brochure 2025-26, recruiter pages 17-18.",B
"National Institute of Technology, Tiruchirappalli",NVIDIA,2025-26 brochure,,Semiconductor / AI,,campus recruitment / brochure-listed,Officially listed in placement brochure; actual current drive not independently verified,,,SRC018,"Company logo appears in official UG Placement Brochure 2025-26, recruiter pages 17-18.",B
"National Institute of Technology, Tiruchirappalli",ExxonMobil,2025-26 brochure,,Energy / engineering,,campus recruitment / brochure-listed,Officially listed in placement brochure; actual current drive not independently verified,,,SRC018,"Company logo appears in official UG Placement Brochure 2025-26, recruiter pages 17-18.",B
"National Institute of Technology, Tiruchirappalli",Schneider Electric,2025-26 brochure,,Electrical / automation,,campus recruitment / brochure-listed,Officially listed in placement brochure; actual current drive not independently verified,,,SRC018,"Company logo appears in official UG Placement Brochure 2025-26, recruiter pages 17-18.",B
