college_name,official_branch_name,normalized_branch,degree,duration_years,approved_intake,female_supernumerary_seats,tfws_seats,nba_status,academic_year,source_id
"National Institute of Technology, Warangal","Bio Technology (4 Years, Bachelor of Technology)",BT,B.Tech.,4,71,0,0,All B.Tech programmes described as NBA accredited in JoSAA profile; programme validity not independently verified,2026-27,SRC001
"National Institute of Technology, Warangal","Chemical Engineering (4 Years, Bachelor of Technology)",CHE,B.Tech.,4,97,0,0,All B.Tech programmes described as NBA accredited in JoSAA profile; programme validity not independently verified,2026-27,SRC001
"National Institute of Technology, Warangal","Civil Engineering (4 Years, Bachelor of Technology)",CE,B.Tech.,4,109,0,0,All B.Tech programmes described as NBA accredited in JoSAA profile; programme validity not independently verified,2026-27,SRC001
"National Institute of Technology, Warangal","Electronics and Communication Engineering (VLSI Design and Technology) (4 Years, Bachelor of Technology)",ECE-VLSI,B.Tech.,4,40,0,0,General B.Tech accreditation claim; programme-specific validity requires manual verification,2026-27,SRC001
"National Institute of Technology, Warangal","Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,B.Tech.,4,134,0,0,All B.Tech programmes described as NBA accredited in JoSAA profile; programme validity not independently verified,2026-27,SRC001
"National Institute of Technology, Warangal","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,B.Tech.,4,99,0,0,All B.Tech programmes described as NBA accredited in JoSAA profile; programme validity not independently verified,2026-27,SRC001
"National Institute of Technology, Warangal","Mathematics and Computing (4 Years, Bachelor of Technology)",MnC,B.Tech.,4,29,0,0,General B.Tech accreditation claim; programme-specific validity requires manual verification,2026-27,SRC001
"National Institute of Technology, Warangal","Mechanical Engineering (4 Years, Bachelor of Technology)",ME,B.Tech.,4,129,0,0,All B.Tech programmes described as NBA accredited in JoSAA profile; programme validity not independently verified,2026-27,SRC001
"National Institute of Technology, Warangal","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",MME,B.Tech.,4,59,0,0,All B.Tech programmes described as NBA accredited in JoSAA profile; programme validity not independently verified,2026-27,SRC001
"National Institute of Technology, Warangal","Computer Science and Engineering ( Artificial Intelligence & Data Science) (4 Years, Bachelor of Technology)",AI & DS,B.Tech.,4,56,0,0,General B.Tech accreditation claim; programme-specific validity requires manual verification,2026-27,SRC001
"National Institute of Technology, Warangal","Electrical and Electronics Engineering (Electric Mobility) (4 Years, Bachelor of Technology)",EEE-EM,B.Tech.,4,30,0,0,General B.Tech accreditation claim; programme-specific validity requires manual verification,2026-27,SRC001
"National Institute of Technology, Warangal","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EEE,B.Tech.,4,115,0,0,All B.Tech programmes described as NBA accredited in JoSAA profile; programme validity not independently verified,2026-27,SRC001
"National Institute of Technology, Warangal","Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",CHE Dual,B.Tech. + M.Tech. Dual Degree,5,12,0,0,,2026-27,SRC001
"National Institute of Technology, Warangal","Metallurgical and Materials Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",MME Dual,B.Tech. + M.Tech. Dual Degree,5,12,0,0,,2026-27,SRC001
