college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
"National Institute of Technology, Warangal",SAE Local Chapter,automotive/technical,officially listed / institution-associated,Listed in the official JoSAA institute profile or NIT Warangal student-welfare material.,https://www.nitw.ac.in/sw,,,,Not consistently published; verify with Student Welfare,unable to verify,SRC001;SRC018,2026-06-26
"National Institute of Technology, Warangal",Software Development Club,software/technical,officially listed / institution-associated,Listed in the official JoSAA institute profile or NIT Warangal student-welfare material.,https://www.nitw.ac.in/sw,,,,Not consistently published; verify with Student Welfare,unable to verify,SRC001;SRC018,2026-06-26
"National Institute of Technology, Warangal",Science and Hobbies Club,science/technical,officially listed / institution-associated,Listed in the official JoSAA institute profile or NIT Warangal student-welfare material.,https://www.nitw.ac.in/sw,,,,Not consistently published; verify with Student Welfare,unable to verify,SRC001;SRC018,2026-06-26
"National Institute of Technology, Warangal",Satellite Applications Club,space/technical,officially listed / institution-associated,Listed in the official JoSAA institute profile or NIT Warangal student-welfare material.,https://www.nitw.ac.in/sw,,,,Not consistently published; verify with Student Welfare,unable to verify,SRC001;SRC018,2026-06-26
"National Institute of Technology, Warangal",Innovation and Entrepreneurship Club,entrepreneurship,officially listed / institution-associated,Listed in the official JoSAA institute profile or NIT Warangal student-welfare material.,https://www.nitw.ac.in/sw,,,,Not consistently published; verify with Student Welfare,unable to verify,SRC001;SRC018,2026-06-26
"National Institute of Technology, Warangal",Robotics Club,robotics/technical,officially listed / institution-associated,Listed in the official JoSAA institute profile or NIT Warangal student-welfare material.,https://www.nitw.ac.in/sw,,,,Not consistently published; verify with Student Welfare,unable to verify,SRC001;SRC018,2026-06-26
"National Institute of Technology, Warangal",Astronomy Club,science/astronomy,officially listed / institution-associated,Listed in the official JoSAA institute profile or NIT Warangal student-welfare material.,https://www.nitw.ac.in/sw,,,,Not consistently published; verify with Student Welfare,unable to verify,SRC001;SRC018,2026-06-26
"National Institute of Technology, Warangal",TEDxNITW,ideas/public speaking,officially listed / institution-associated,Listed in the official JoSAA institute profile or NIT Warangal student-welfare material.,https://www.nitw.ac.in/sw,,,,Not consistently published; verify with Student Welfare,unable to verify,SRC001;SRC018,2026-06-26
"National Institute of Technology, Warangal",Business Club,business/entrepreneurship,officially listed / institution-associated,Listed in the official JoSAA institute profile or NIT Warangal student-welfare material.,https://www.nitw.ac.in/sw,,,,Not consistently published; verify with Student Welfare,unable to verify,SRC001;SRC018,2026-06-26
"National Institute of Technology, Warangal",Fitness Club,fitness/sports,officially listed / institution-associated,Listed in the official JoSAA institute profile or NIT Warangal student-welfare material.,https://www.nitw.ac.in/sw,,,,Not consistently published; verify with Student Welfare,unable to verify,SRC001;SRC018,2026-06-26
"National Institute of Technology, Warangal",National Service Scheme,community service,officially listed / institution-associated,Listed in the official JoSAA institute profile or NIT Warangal student-welfare material.,https://www.nitw.ac.in/sw,,,,Not consistently published; verify with Student Welfare,unable to verify,SRC001;SRC018,2026-06-26
"National Institute of Technology, Warangal",Ek Bharat Shreshtha Bharat,culture/national integration,officially listed / institution-associated,Listed in the official JoSAA institute profile or NIT Warangal student-welfare material.,https://www.nitw.ac.in/sw,,,,Not consistently published; verify with Student Welfare,unable to verify,SRC001;SRC018,2026-06-26
"National Institute of Technology, Warangal",Food and Health Club,health/wellness,officially listed / institution-associated,Listed in the official JoSAA institute profile or NIT Warangal student-welfare material.,https://www.nitw.ac.in/sw,,,,Not consistently published; verify with Student Welfare,unable to verify,SRC001;SRC018,2026-06-26
"National Institute of Technology, Warangal",Patriot Club,civic/national,officially listed / institution-associated,Listed in the official JoSAA institute profile or NIT Warangal student-welfare material.,https://www.nitw.ac.in/sw,,,,Not consistently published; verify with Student Welfare,unable to verify,SRC001;SRC018,2026-06-26
"National Institute of Technology, Warangal",Literary and Debating Club,literary/debate,officially listed / institution-associated,Listed in the official JoSAA institute profile or NIT Warangal student-welfare material.,https://www.nitw.ac.in/sw,,,,Not consistently published; verify with Student Welfare,unable to verify,SRC001;SRC018,2026-06-26
"National Institute of Technology, Warangal",Quiz Club,quiz/literary,officially listed / institution-associated,Listed in the official JoSAA institute profile or NIT Warangal student-welfare material.,https://www.nitw.ac.in/sw,,,,Not consistently published; verify with Student Welfare,unable to verify,SRC001;SRC018,2026-06-26
"National Institute of Technology, Warangal",Painting Club,art,officially listed / institution-associated,Listed in the official JoSAA institute profile or NIT Warangal student-welfare material.,https://www.nitw.ac.in/sw,,,,Not consistently published; verify with Student Welfare,unable to verify,SRC001;SRC018,2026-06-26
"National Institute of Technology, Warangal",Photography Club,photography/media,officially listed / institution-associated,Listed in the official JoSAA institute profile or NIT Warangal student-welfare material.,https://www.nitw.ac.in/sw,,,,Not consistently published; verify with Student Welfare,unable to verify,SRC001;SRC018,2026-06-26
"National Institute of Technology, Warangal",Electronic Amateur and HAM Club,electronics/communications,officially listed / institution-associated,Listed in the official JoSAA institute profile or NIT Warangal student-welfare material.,https://www.nitw.ac.in/sw,,,,Not consistently published; verify with Student Welfare,unable to verify,SRC001;SRC018,2026-06-26
"National Institute of Technology, Warangal",Youth Red Cross,community service/health,officially listed / institution-associated,Listed in the official JoSAA institute profile or NIT Warangal student-welfare material.,https://www.nitw.ac.in/sw,,,,Not consistently published; verify with Student Welfare,unable to verify,SRC001;SRC018,2026-06-26
