college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
"National Institute of Technology, Warangal",228,2024,JoSAA,Round 1,Regular JoSAA round,"Bio Technology (4 Years, Bachelor of Technology)",BT,EWS,GEN-EWS rank,Home State,Female-only (including Supernumerary),6430.0,6430.0,,,GEN-EWS rank,SRC003,
"National Institute of Technology, Warangal",228,2024,JoSAA,Round 2,Regular JoSAA round,"Bio Technology (4 Years, Bachelor of Technology)",BT,EWS,GEN-EWS rank,Home State,Female-only (including Supernumerary),6430.0,6430.0,,,GEN-EWS rank,SRC003,
"National Institute of Technology, Warangal",228,2024,JoSAA,Round 3,Regular JoSAA round,"Bio Technology (4 Years, Bachelor of Technology)",BT,EWS,GEN-EWS rank,Home State,Female-only (including Supernumerary),6430.0,6430.0,,,GEN-EWS rank,SRC003,
"National Institute of Technology, Warangal",228,2024,JoSAA,Round 4,Regular JoSAA round,"Bio Technology (4 Years, Bachelor of Technology)",BT,EWS,GEN-EWS rank,Home State,Female-only (including Supernumerary),6430.0,6430.0,,,GEN-EWS rank,SRC003,
"National Institute of Technology, Warangal",228,2024,JoSAA,Round 5,Regular JoSAA round,"Bio Technology (4 Years, Bachelor of Technology)",BT,EWS,GEN-EWS rank,Home State,Female-only (including Supernumerary),6430.0,6430.0,,,GEN-EWS rank,SRC003,
"National Institute of Technology, Warangal",228,2024,JoSAA,Round 1,Regular JoSAA round,"Bio Technology (4 Years, Bachelor of Technology)",BT,EWS,GEN-EWS rank,Home State,Gender-Neutral,6066.0,6278.0,,,GEN-EWS rank,SRC003,
"National Institute of Technology, Warangal",228,2024,JoSAA,Round 2,Regular JoSAA round,"Bio Technology (4 Years, Bachelor of Technology)",BT,EWS,GEN-EWS rank,Home State,Gender-Neutral,6358.0,6789.0,,,GEN-EWS rank,SRC003,
"National Institute of Technology, Warangal",228,2024,JoSAA,Round 3,Regular JoSAA round,"Bio Technology (4 Years, Bachelor of Technology)",BT,EWS,GEN-EWS rank,Home State,Gender-Neutral,6358.0,6870.0,,,GEN-EWS rank,SRC003,
"National Institute of Technology, Warangal",228,2024,JoSAA,Round 4,Regular JoSAA round,"Bio Technology (4 Years, Bachelor of Technology)",BT,EWS,GEN-EWS rank,Home State,Gender-Neutral,6358.0,6870.0,,,GEN-EWS rank,SRC003,
"National Institute of Technology, Warangal",228,2024,JoSAA,Round 5,Regular JoSAA round,"Bio Technology (4 Years, Bachelor of Technology)",BT,EWS,GEN-EWS rank,Home State,Gender-Neutral,6826.0,6933.0,,,GEN-EWS rank,SRC003,
