college_name,placement_year,programme,branch,record_scope,graduating_students,eligible_students,registered_students,students_placed,placement_percentage,higher_studies_count,median_package_lpa,average_package_lpa,highest_domestic_package_lpa,highest_international_package_lpa,internship_count,ppo_count,average_stipend,highest_stipend,source_type,source_id,source_page,notes
"National Institute of Technology, Warangal",2021-22,UG 4-year programmes,Overall,NIRF graduating cohort - overall UG 4-year,869,,,639,73.53,62,15.92,,,,,,,,NIRF-reported; placement percentage calculated,SRC011,,Placement percentage is calculated from students placed divided by graduating students; NIRF cohort scope differs from CCPD eligibility-based campus figures.
"National Institute of Technology, Warangal",2022-23,UG 4-year programmes,Overall,NIRF graduating cohort - overall UG 4-year,1064,,,872,81.95,79,15.0,,,,,,,,NIRF-reported; placement percentage calculated,SRC011,,Placement percentage is calculated from students placed divided by graduating students; NIRF cohort scope differs from CCPD eligibility-based campus figures.
"National Institute of Technology, Warangal",2023-24,UG 4-year programmes,Overall,NIRF graduating cohort - overall UG 4-year,909,,,631,69.42,93,14.2,,,,,,,,NIRF-reported; placement percentage calculated,SRC011,,Placement percentage is calculated from students placed divided by graduating students; NIRF cohort scope differs from CCPD eligibility-based campus figures.
"National Institute of Technology, Warangal",2024-25,B.Tech.,CSE,branch-specific eligible campus-placement participants,167,137,,130,94.89,,20,22.63,53.28,,,,,,college placement-cell reported,SRC012,1,Source reports Max CTC; domestic/international distinction is not stated. Eligible means CGPA >=6.5 and participation in all campus drives.
"National Institute of Technology, Warangal",2024-25,B.Tech.,ECE,branch-specific eligible campus-placement participants,155,130,,111,85.38,,18,20.8,64.3,,,,,,college placement-cell reported,SRC012,1,Source reports Max CTC; domestic/international distinction is not stated. Eligible means CGPA >=6.5 and participation in all campus drives.
"National Institute of Technology, Warangal",2024-25,B.Tech.,EEE,branch-specific eligible campus-placement participants,142,122,,117,95.9,,16,17.59,53.28,,,,,,college placement-cell reported,SRC012,1,Source reports Max CTC; domestic/international distinction is not stated. Eligible means CGPA >=6.5 and participation in all campus drives.
"National Institute of Technology, Warangal",2024-25,B.Tech.,ME,branch-specific eligible campus-placement participants,145,113,,97,85.84,,12.46,12.57,34.1,,,,,,college placement-cell reported,SRC012,1,Source reports Max CTC; domestic/international distinction is not stated. Eligible means CGPA >=6.5 and participation in all campus drives.
"National Institute of Technology, Warangal",2024-25,B.Tech.,CHE,branch-specific eligible campus-placement participants,115,100,,83,83.0,,10,11.25,34.1,,,,,,college placement-cell reported,SRC012,1,Source reports Max CTC; domestic/international distinction is not stated. Eligible means CGPA >=6.5 and participation in all campus drives.
"National Institute of Technology, Warangal",2024-25,B.Tech.,CE,branch-specific eligible campus-placement participants,113,88,,71,80.68,,8,9.75,34.1,,,,,,college placement-cell reported,SRC012,1,Source reports Max CTC; domestic/international distinction is not stated. Eligible means CGPA >=6.5 and participation in all campus drives.
"National Institute of Technology, Warangal",2024-25,B.Tech.,MME,branch-specific eligible campus-placement participants,75,63,,55,87.3,,8,9.82,17.6,,,,,,college placement-cell reported,SRC012,1,Source reports Max CTC; domestic/international distinction is not stated. Eligible means CGPA >=6.5 and participation in all campus drives.
