college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Google,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",NVIDIA,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Palo Alto Networks,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",CRED,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Cisco,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Deloitte,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Morgan Stanley,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Oracle,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Amazon,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Flipkart,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Goldman Sachs,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Intuit,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Walmart,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",BEL,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Harness,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",UiPath,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Myntra,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Meesho,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Hyundai,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Infosys,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",TCS,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",HCL,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",IBM,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Accenture,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",L&T,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",JSW Steel,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Maruti Suzuki,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Addverb Technologies,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Quantiphi,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",Panasonic Japan,2025-26 page,,Company-specific role not officially published,,"Unknown / may include FTE, internship or PPO",Officially listed on current placement-cell page,,,SRC010,"Listed by the official placement cell among participating/recruiting companies; role, selection count and package not published.",C
