college_name,official_branch_name,normalized_branch,degree,duration_years,approved_intake,female_supernumerary_seats,tfws_seats,nba_status,academic_year,source_id
"Sardar Vallabhbhai National Institute of Technology, Surat","Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,B.Tech,4,130,0,,,2026-27,SRC001
"Sardar Vallabhbhai National Institute of Technology, Surat","Civil Engineering (4 Years, Bachelor of Technology)",Civil Engineering,B.Tech,4,130,0,,,2026-27,SRC001
"Sardar Vallabhbhai National Institute of Technology, Surat","Industrial Chemistry (4 Years, Bachelor of Technology)",Industrial Chemistry,B.Tech,4,30,0,,,2026-27,SRC001
"Sardar Vallabhbhai National Institute of Technology, Surat","Electronics and VLSI Engineering (4 Years, Bachelor of Technology)",Electronics and VLSI Engineering,B.Tech,4,60,0,,,2026-27,SRC001
"Sardar Vallabhbhai National Institute of Technology, Surat","Computer Science and Engineering (4 Years, Bachelor of Technology)",Computer Science and Engineering,B.Tech,4,130,0,,,2026-27,SRC001
"Sardar Vallabhbhai National Institute of Technology, Surat","Electrical Engineering (4 Years, Bachelor of Technology)",Electrical Engineering,B.Tech,4,130,0,,,2026-27,SRC001
"Sardar Vallabhbhai National Institute of Technology, Surat","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",Electronics and Communication Engineering,B.Tech,4,140,0,,,2026-27,SRC001
"Sardar Vallabhbhai National Institute of Technology, Surat","Engineering Physics (4 Years, Bachelor of Technology)",Engineering Physics,B.Tech,4,30,0,,,2026-27,SRC001
"Sardar Vallabhbhai National Institute of Technology, Surat","Mathematics and Computing (4 Years, Bachelor of Technology)",Mathematics and Computing,B.Tech,4,30,0,,,2026-27,SRC001
"Sardar Vallabhbhai National Institute of Technology, Surat","Mechanical Engineering (4 Years, Bachelor of Technology)",Mechanical Engineering,B.Tech,4,260,0,,,2026-27,SRC001
"Sardar Vallabhbhai National Institute of Technology, Surat","Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,B.Tech,4,120,0,,,2026-27,SRC001
"Sardar Vallabhbhai National Institute of Technology, Surat","Artificial Intelligence (5 Years, Integrated B. Tech. and M. Tech.)",Artificial Intelligence,Integrated B.Tech.-M.Tech.,5,60,0,,,2026-27,SRC001
"Sardar Vallabhbhai National Institute of Technology, Surat","Chemistry (5 Years, Integrated Bachelor of Science-Master of Science)",Chemistry,Integrated B.Sc.-M.Sc.,5,50,0,,,2026-27,SRC001
"Sardar Vallabhbhai National Institute of Technology, Surat","Physics (5 Years, Integrated Bachelor of Science-Master of Science)",Physics,Integrated B.Sc.-M.Sc.,5,50,0,,,2026-27,SRC001
"Sardar Vallabhbhai National Institute of Technology, Surat","Mathematics (5 Years, Integrated Bachelor of Science-Master of Science)",Mathematics,Integrated B.Sc.-M.Sc.,5,50,0,,,2026-27,SRC001
