college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
"Sardar Vallabhbhai National Institute of Technology, Surat",Association for Computing Machinery (ACM),Computing,Officially listed student chapter/club,Computing student organization listed by SVNIT/JoSAA.,https://www.svnit.ac.in/web/student_chapters.php,Listed in current official institute/JoSAA material; a dated 2026 activity was not verified for every club.,,,Not consistently published in reviewed sources,recently active,SRC024,2026-06-26
"Sardar Vallabhbhai National Institute of Technology, Surat",Google Developer Student Club / Developer Group on Campus,Computing,Officially listed student chapter/club,Computing student organization listed by SVNIT/JoSAA.,https://www.svnit.ac.in/web/student_chapters.php,Listed in current official institute/JoSAA material; a dated 2026 activity was not verified for every club.,,,Not consistently published in reviewed sources,unable to verify,SRC024,2026-06-26
"Sardar Vallabhbhai National Institute of Technology, Surat",DRISHTI,Robotics and technical,Officially listed student chapter/club,Robotics and technical student organization listed by SVNIT/JoSAA.,https://www.svnit.ac.in/web/drishti/,Listed in current official institute/JoSAA material; a dated 2026 activity was not verified for every club.,,,Not consistently published in reviewed sources,recently active,SRC024,2026-06-26
"Sardar Vallabhbhai National Institute of Technology, Surat",Cutting Edge Visionaries (CEV),Technical and innovation,Officially listed student chapter/club,Technical and innovation student organization listed by SVNIT/JoSAA.,https://www.svnit.ac.in/web/student_chapters.php,Listed in current official institute/JoSAA material; a dated 2026 activity was not verified for every club.,,,Not consistently published in reviewed sources,unable to verify,SRC024,2026-06-26
"Sardar Vallabhbhai National Institute of Technology, Surat",Literary Affairs Committee (LAC),Literary,Officially listed student chapter/club,Literary student organization listed by SVNIT/JoSAA.,https://www.svnit.ac.in/web/student_chapters.php,Listed in current official institute/JoSAA material; a dated 2026 activity was not verified for every club.,,,Not consistently published in reviewed sources,recently active,SRC024,2026-06-26
"Sardar Vallabhbhai National Institute of Technology, Surat",Centre for Humanity Resource Development (CHRD),Human resources and soft skills,Officially listed student chapter/club,Human resources and soft skills student organization listed by SVNIT/JoSAA.,https://www.svnit.ac.in/web/student_chapters.php,Listed in current official institute/JoSAA material; a dated 2026 activity was not verified for every club.,,,Not consistently published in reviewed sources,unable to verify,SRC024,2026-06-26
"Sardar Vallabhbhai National Institute of Technology, Surat",Chemical Engineering Society (ChES),Departmental technical,Officially listed student chapter/club,Departmental technical student organization listed by SVNIT/JoSAA.,https://www.svnit.ac.in/web/student_chapters.php,Listed in current official institute/JoSAA material; a dated 2026 activity was not verified for every club.,,,Not consistently published in reviewed sources,unable to verify,SRC024,2026-06-26
"Sardar Vallabhbhai National Institute of Technology, Surat",Civil Engineering Society (CES),Departmental technical,Officially listed student chapter/club,Departmental technical student organization listed by SVNIT/JoSAA.,https://www.svnit.ac.in/web/student_chapters.php,Listed in current official institute/JoSAA material; a dated 2026 activity was not verified for every club.,,,Not consistently published in reviewed sources,unable to verify,SRC024,2026-06-26
"Sardar Vallabhbhai National Institute of Technology, Surat",Electrical Engineering Society (EES),Departmental technical,Officially listed student chapter/club,Departmental technical student organization listed by SVNIT/JoSAA.,https://www.svnit.ac.in/web/student_chapters.php,Listed in current official institute/JoSAA material; a dated 2026 activity was not verified for every club.,,,Not consistently published in reviewed sources,unable to verify,SRC024,2026-06-26
"Sardar Vallabhbhai National Institute of Technology, Surat",IEEE Student Branch,Professional technical,Officially listed student chapter/club,Professional technical student organization listed by SVNIT/JoSAA.,https://www.svnit.ac.in/web/student_chapters.php,Listed in current official institute/JoSAA material; a dated 2026 activity was not verified for every club.,,,Not consistently published in reviewed sources,unable to verify,SRC024,2026-06-26
