college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,EWS,EWS category rank,Home State,Female-only (including Supernumerary),2452,2452,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,EWS,EWS category rank,Home State,Gender-Neutral,1586,1911,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,OBC-NCL,OBC-NCL category rank,Home State,Female-only (including Supernumerary),12839,14841,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,OBC-NCL,OBC-NCL category rank,Home State,Gender-Neutral,3626,7232,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,OPEN,CRL,Home State,Female-only (including Supernumerary),10221,11943,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,OPEN,CRL,Home State,Gender-Neutral,6947,11382,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,OPEN (PwD),OPEN-PwD rank,Home State,Gender-Neutral,544,544,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,SC,SC category rank,Home State,Female-only (including Supernumerary),3510,3510,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,SC,SC category rank,Home State,Gender-Neutral,2166,4118,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,ST,ST category rank,Home State,Female-only (including Supernumerary),2271,2271,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,ST,ST category rank,Home State,Gender-Neutral,596,1614,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,EWS,EWS category rank,Other State,Female-only (including Supernumerary),2151,2151,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,EWS,EWS category rank,Other State,Gender-Neutral,1271,1424,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,OBC-NCL,OBC-NCL category rank,Other State,Female-only (including Supernumerary),6436,7354,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,OBC-NCL,OBC-NCL category rank,Other State,Gender-Neutral,2735,3477,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,OBC-NCL (PwD),OBC-NCL (PwD) category rank,Other State,Gender-Neutral,161,161,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,OPEN,CRL,Other State,Female-only (including Supernumerary),11909,14322,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,OPEN,CRL,Other State,Gender-Neutral,6762,8939,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,OPEN (PwD),OPEN-PwD rank,Other State,Gender-Neutral,309,309,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,SC,SC category rank,Other State,Female-only (including Supernumerary),2826,3285,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,SC,SC category rank,Other State,Gender-Neutral,1453,2015,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,SC (PwD),SC (PwD) category rank,Other State,Gender-Neutral,91,91,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,ST,ST category rank,Other State,Female-only (including Supernumerary),1454,1454,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Artificial Intelligence (4 Years, Bachelor of Technology)",Artificial Intelligence,ST,ST category rank,Other State,Gender-Neutral,668,692,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,EWS,EWS category rank,Home State,Female-only (including Supernumerary),7116,7116,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,EWS,EWS category rank,Home State,Gender-Neutral,5714,6217,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,OBC-NCL,OBC-NCL category rank,Home State,Female-only (including Supernumerary),15355,27514,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,OBC-NCL,OBC-NCL category rank,Home State,Gender-Neutral,11555,19641,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,OPEN,CRL,Home State,Female-only (including Supernumerary),25442,35376,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,OPEN,CRL,Home State,Gender-Neutral,17640,36000,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,SC,SC category rank,Home State,Female-only (including Supernumerary),5210,8031,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,SC,SC category rank,Home State,Gender-Neutral,5616,9398,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
"Sardar Vallabhbhai National Institute of Technology, Surat",229,2023,JoSAA,Round 1,Regular seat allocation,"Chemical Engineering (4 Years, Bachelor of Technology)",Chemical Engineering,ST,ST category rank,Home State,Female-only (including Supernumerary),3271,3271,,,JoSAA published rank; CRL for OPEN and category rank for reserved categories,SRC003,
