college_name,placement_year,programme,branch,record_scope,graduating_students,eligible_students,registered_students,students_placed,placement_percentage,higher_studies_count,median_package_lpa,average_package_lpa,highest_domestic_package_lpa,highest_international_package_lpa,internship_count,ppo_count,average_stipend,highest_stipend,source_type,source_id,source_page,notes
"Sardar Vallabhbhai National Institute of Technology, Surat",2025-26,B.Tech,Civil Engineering,Branch-specific B.Tech,103,90,90,63,70.0,,7.5,10.98,20.88,,,,,,Institution-published placement summary,SRC016,1,CTC values as reported; domestic/international not distinguished. Provisional through 31 May 2026.
"Sardar Vallabhbhai National Institute of Technology, Surat",2025-26,B.Tech,Computer Science and Engineering,Branch-specific B.Tech,126,118,118,81,68.64,,15.0,16.2,62.0,,,,,,Institution-published placement summary,SRC016,1,CTC values as reported; domestic/international not distinguished. Provisional through 31 May 2026.
"Sardar Vallabhbhai National Institute of Technology, Surat",2025-26,B.Tech,Chemical Engineering,Branch-specific B.Tech,110,102,102,70,68.63,,8.0,10.8,23.5,,,,,,Institution-published placement summary,SRC016,1,CTC values as reported; domestic/international not distinguished. Provisional through 31 May 2026.
"Sardar Vallabhbhai National Institute of Technology, Surat",2025-26,B.Tech,Mechanical Engineering,Branch-specific B.Tech,204,192,192,131,68.23,,8.5,10.32,20.88,,,,,,Institution-published placement summary,SRC016,1,CTC values as reported; domestic/international not distinguished. Provisional through 31 May 2026.
"Sardar Vallabhbhai National Institute of Technology, Surat",2025-26,B.Tech,Electronics and Communication Engineering,Branch-specific B.Tech,150,140,140,88,62.86,,12.45,14.07,57.0,,,,,,Institution-published placement summary,SRC016,1,CTC values as reported; domestic/international not distinguished. Provisional through 31 May 2026.
"Sardar Vallabhbhai National Institute of Technology, Surat",2025-26,B.Tech,Electrical Engineering,Branch-specific B.Tech,104,98,98,60,61.22,,9.75,11.78,25.56,,,,,,Institution-published placement summary,SRC016,1,CTC values as reported; domestic/international not distinguished. Provisional through 31 May 2026.
"Sardar Vallabhbhai National Institute of Technology, Surat",2025-26,B.Tech,Overall B.Tech.,Overall B.Tech,797,740,740,493,66.62,,10.89,12.42,62.0,,,,,,Institution-published placement summary,SRC016,1,CTC values as reported; domestic/international not distinguished. Provisional through 31 May 2026.
"Sardar Vallabhbhai National Institute of Technology, Surat",2025-26,M.Tech,Mechanical Engineering,Branch-specific M.Tech,6,5,5,5,100.0,,9.0,11.25,19.0,,,,,,Institution-published placement summary,SRC016,1,CTC values as reported; domestic/international not distinguished. Provisional through 31 May 2026.
"Sardar Vallabhbhai National Institute of Technology, Surat",2025-26,M.Tech,Thermal System Design,Branch-specific M.Tech,5,4,4,4,100.0,,7.75,7.58,8.0,,,,,,Institution-published placement summary,SRC016,1,CTC values as reported; domestic/international not distinguished. Provisional through 31 May 2026.
"Sardar Vallabhbhai National Institute of Technology, Surat",2025-26,M.Tech,Urban Planning,Branch-specific M.Tech,14,3,3,3,100.0,,6.3,6.2,6.3,,,,,,Institution-published placement summary,SRC016,1,CTC values as reported; domestic/international not distinguished. Provisional through 31 May 2026.
"Sardar Vallabhbhai National Institute of Technology, Surat",2025-26,M.Tech,Power Electronics and Electrical Drives,Branch-specific M.Tech,10,8,8,6,75.0,,6.8,7.85,12.5,,,,,,Institution-published placement summary,SRC016,1,CTC values as reported; domestic/international not distinguished. Provisional through 31 May 2026.
"Sardar Vallabhbhai National Institute of Technology, Surat",2025-26,M.Tech,Information Security and Privacy,Branch-specific M.Tech,28,21,21,15,71.43,,8.3,9.72,19.31,,,,,,Institution-published placement summary,SRC016,1,CTC values as reported; domestic/international not distinguished. Provisional through 31 May 2026.
"Sardar Vallabhbhai National Institute of Technology, Surat",2025-26,M.Tech,Structural Engineering,Branch-specific M.Tech,30,27,27,19,70.37,,7.2,7.12,9.5,,,,,,Institution-published placement summary,SRC016,1,CTC values as reported; domestic/international not distinguished. Provisional through 31 May 2026.
"Sardar Vallabhbhai National Institute of Technology, Surat",2025-26,M.Tech,Construction Technology and Management,Branch-specific M.Tech,30,28,28,19,67.86,,6.8,7.37,9.0,,,,,,Institution-published placement summary,SRC016,1,CTC values as reported; domestic/international not distinguished. Provisional through 31 May 2026.
"Sardar Vallabhbhai National Institute of Technology, Surat",2025-26,M.Tech,Instrumentation and Control,Branch-specific M.Tech,6,6,6,4,66.67,,8.5,8.2,9.0,,,,,,Institution-published placement summary,SRC016,1,CTC values as reported; domestic/international not distinguished. Provisional through 31 May 2026.
"Sardar Vallabhbhai National Institute of Technology, Surat",2025-26,M.Tech,Data Science,Branch-specific M.Tech,27,20,20,11,55.0,,10.0,9.85,12.0,,,,,,Institution-published placement summary,SRC016,1,CTC values as reported; domestic/international not distinguished. Provisional through 31 May 2026.
"Sardar Vallabhbhai National Institute of Technology, Surat",2025-26,M.Tech,Computer Science and Engineering,Branch-specific M.Tech,30,24,24,12,50.0,,8.78,10.23,17.36,,,,,,Institution-published placement summary,SRC016,1,CTC values as reported; domestic/international not distinguished. Provisional through 31 May 2026.
"Sardar Vallabhbhai National Institute of Technology, Surat",2025-26,M.Tech,Geotechnical Engineering,Branch-specific M.Tech,8,4,4,2,50.0,,6.5,6.5,6.5,,,,,,Institution-published placement summary,SRC016,1,CTC values as reported; domestic/international not distinguished. Provisional through 31 May 2026.
"Sardar Vallabhbhai National Institute of Technology, Surat",2025-26,M.Tech,Transportation Engineering and Planning,Branch-specific M.Tech,25,16,16,8,50.0,,6.75,6.71,7.25,,,,,,Institution-published placement summary,SRC016,1,CTC values as reported; domestic/international not distinguished. Provisional through 31 May 2026.
"Sardar Vallabhbhai National Institute of Technology, Surat",2025-26,M.Tech,Power Systems,Branch-specific M.Tech,8,5,5,2,40.0,,7.9,7.9,9.0,,,,,,Institution-published placement summary,SRC016,1,CTC values as reported; domestic/international not distinguished. Provisional through 31 May 2026.
