college_name,club_name,club_category,official_status,description,official_page,latest_activity,latest_activity_date,major_achievements,recruitment_process,activity_status,source_id,last_verified_date
"SRM Institute of Science and Technology, Kattankulathur",Rotaract Club,service/community,Officially listed by SRMIST/department,Service And Community student organisation or activity,https://www.srmist.edu.in/life-at-srm/student-life/clubs/,No sufficiently current individual-club activity evidence was verified,,,Not consistently published on the central page; verify with Directorate of Student Affairs or the club,unable to verify,SRC026,2026-06-27
"SRM Institute of Science and Technology, Kattankulathur",Astrophilia,science/astronomy,Officially listed by SRMIST/department,Science And Astronomy student organisation or activity,https://www.srmist.edu.in/life-at-srm/student-life/clubs/,No sufficiently current individual-club activity evidence was verified,,,Not consistently published on the central page; verify with Directorate of Student Affairs or the club,unable to verify,SRC026,2026-06-27
"SRM Institute of Science and Technology, Kattankulathur",Fashion Club,cultural/fashion,Officially listed by SRMIST/department,Cultural And Fashion student organisation or activity,https://www.srmist.edu.in/life-at-srm/student-life/clubs/,No sufficiently current individual-club activity evidence was verified,,,Not consistently published on the central page; verify with Directorate of Student Affairs or the club,unable to verify,SRC026,2026-06-27
"SRM Institute of Science and Technology, Kattankulathur",Music Club,cultural/music,Officially listed by SRMIST/department,Cultural And Music student organisation or activity,https://www.srmist.edu.in/life-at-srm/student-life/clubs/,No sufficiently current individual-club activity evidence was verified,,,Not consistently published on the central page; verify with Directorate of Student Affairs or the club,unable to verify,SRC026,2026-06-27
"SRM Institute of Science and Technology, Kattankulathur",Literature Club,literary,Officially listed by SRMIST/department,Literary student organisation or activity,https://www.srmist.edu.in/life-at-srm/student-life/clubs/,No sufficiently current individual-club activity evidence was verified,,,Not consistently published on the central page; verify with Directorate of Student Affairs or the club,unable to verify,SRC026,2026-06-27
"SRM Institute of Science and Technology, Kattankulathur",Festival Club,cultural/events,Officially listed by SRMIST/department,Cultural And Events student organisation or activity,https://www.srmist.edu.in/life-at-srm/student-life/clubs/,No sufficiently current individual-club activity evidence was verified,,,Not consistently published on the central page; verify with Directorate of Student Affairs or the club,unable to verify,SRC026,2026-06-27
"SRM Institute of Science and Technology, Kattankulathur",Dance Club,cultural/dance,Officially listed by SRMIST/department,Cultural And Dance student organisation or activity,https://www.srmist.edu.in/life-at-srm/student-life/clubs/,No sufficiently current individual-club activity evidence was verified,,,Not consistently published on the central page; verify with Directorate of Student Affairs or the club,unable to verify,SRC026,2026-06-27
"SRM Institute of Science and Technology, Kattankulathur",Movies and Dramatics Club,film/theatre,Officially listed by SRMIST/department,Film And Theatre student organisation or activity,https://www.srmist.edu.in/life-at-srm/student-life/clubs/,No sufficiently current individual-club activity evidence was verified,,,Not consistently published on the central page; verify with Directorate of Student Affairs or the club,unable to verify,SRC026,2026-06-27
"SRM Institute of Science and Technology, Kattankulathur",Sports Club,sports,Officially listed by SRMIST/department,Sports student organisation or activity,https://www.srmist.edu.in/life-at-srm/student-life/clubs/,No sufficiently current individual-club activity evidence was verified,,,Not consistently published on the central page; verify with Directorate of Student Affairs or the club,unable to verify,SRC026,2026-06-27
"SRM Institute of Science and Technology, Kattankulathur",Creative Arts & Media Club,creative/media,Officially listed by SRMIST/department,Creative And Media student organisation or activity,https://www.srmist.edu.in/life-at-srm/student-life/clubs/,No sufficiently current individual-club activity evidence was verified,,,Not consistently published on the central page; verify with Directorate of Student Affairs or the club,unable to verify,SRC026,2026-06-27
"SRM Institute of Science and Technology, Kattankulathur",Women Empowerment Club,social/welfare,Officially listed by SRMIST/department,Social And Welfare student organisation or activity,https://www.srmist.edu.in/life-at-srm/student-life/clubs/,No sufficiently current individual-club activity evidence was verified,,,Not consistently published on the central page; verify with Directorate of Student Affairs or the club,unable to verify,SRC026,2026-06-27
"SRM Institute of Science and Technology, Kattankulathur",Self Defense Club,sports/safety,Officially listed by SRMIST/department,Sports And Safety student organisation or activity,https://www.srmist.edu.in/life-at-srm/student-life/clubs/,No sufficiently current individual-club activity evidence was verified,,,Not consistently published on the central page; verify with Directorate of Student Affairs or the club,unable to verify,SRC026,2026-06-27
"SRM Institute of Science and Technology, Kattankulathur",Social Club,social/community,Officially listed by SRMIST/department,Social And Community student organisation or activity,https://www.srmist.edu.in/life-at-srm/student-life/clubs/,No sufficiently current individual-club activity evidence was verified,,,Not consistently published on the central page; verify with Directorate of Student Affairs or the club,unable to verify,SRC026,2026-06-27
"SRM Institute of Science and Technology, Kattankulathur",Gaming Club,gaming/esports,Officially listed by SRMIST/department,Gaming And Esports student organisation or activity,https://www.srmist.edu.in/life-at-srm/student-life/clubs/,No sufficiently current individual-club activity evidence was verified,,,Not consistently published on the central page; verify with Directorate of Student Affairs or the club,unable to verify,SRC026,2026-06-27
"SRM Institute of Science and Technology, Kattankulathur",Quiz Club,quiz/knowledge,Officially listed by SRMIST/department,Quiz And Knowledge student organisation or activity,https://www.srmist.edu.in/life-at-srm/student-life/clubs/,No sufficiently current individual-club activity evidence was verified,,,Not consistently published on the central page; verify with Directorate of Student Affairs or the club,unable to verify,SRC026,2026-06-27
"SRM Institute of Science and Technology, Kattankulathur",SRM Hackathon,technical/hackathon,Officially listed by SRMIST/department,Technical And Hackathon student organisation or activity,https://www.srmist.edu.in/department/department-of-networking-and-communications/student-clubs-professional-chapters-and-association-bodies/,No sufficiently current individual-club activity evidence was verified,,,Not consistently published on the central page; verify with Directorate of Student Affairs or the club,unable to verify,SRC028,2026-06-27
"SRM Institute of Science and Technology, Kattankulathur",SRM Ideathon and Semicolon,technical/innovation,Officially listed by SRMIST/department,Technical And Innovation student organisation or activity,https://www.srmist.edu.in/department/department-of-networking-and-communications/student-clubs-professional-chapters-and-association-bodies/,No sufficiently current individual-club activity evidence was verified,,,Not consistently published on the central page; verify with Directorate of Student Affairs or the club,unable to verify,SRC028,2026-06-27
"SRM Institute of Science and Technology, Kattankulathur",IoT Alliance Club,technical/IoT,Officially listed by SRMIST/department,Technical And Iot student organisation or activity,https://www.srmist.edu.in/department/department-of-networking-and-communications/student-clubs-professional-chapters-and-association-bodies/,Visible official activity evidence appears dated around 2023,2023,,Not consistently published on the central page; verify with Directorate of Student Affairs or the club,possibly dormant,SRC028,2026-06-27
"SRM Institute of Science and Technology, Kattankulathur",GitHub Community SRM,technical/open source,Officially listed by SRMIST/department,Technical And Open Source student organisation or activity,https://www.srmist.edu.in/department/department-of-networking-and-communications/student-clubs-professional-chapters-and-association-bodies/,No sufficiently current individual-club activity evidence was verified,,,Not consistently published on the central page; verify with Directorate of Student Affairs or the club,unable to verify,SRC028,2026-06-27
"SRM Institute of Science and Technology, Kattankulathur",GeeksforGeeks SRMIST,technical/coding,Officially listed by SRMIST/department,Technical And Coding student organisation or activity,https://www.srmist.edu.in/department/department-of-networking-and-communications/student-clubs-professional-chapters-and-association-bodies/,Visible official activity evidence appears dated around 2023,2023,,Not consistently published on the central page; verify with Directorate of Student Affairs or the club,possibly dormant,SRC028,2026-06-27
