college_name,academic_year,programme,category_or_quota,annual_tuition_inr,semester_tuition_inr,full_programme_tuition_inr,admission_fee_inr,registration_fee_inr,exam_fee_inr,refundable_deposit_inr,annual_hostel_fee_inr,annual_mess_fee_inr,other_compulsory_fee_inr,calculated_four_year_cost_inr,source_id,source_page,notes
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Aerospace Engineering,Indian admissions / published programme fee,400000,,1600000,,10000,,,,,,1610000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Aeronautical Engineering,Indian admissions / published programme fee,400000,,1600000,,10000,,,,,,1610000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Artificial Intelligence,Indian admissions / published programme fee,475000,,1900000,,10000,,,,,,1910000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Automation and Robotics,Indian admissions / published programme fee,275000,,1100000,,10000,,,,,,1110000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Automobile Engineering,Indian admissions / published programme fee,275000,,1100000,,10000,,,,,,1110000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Automobile Engineering with specialization in Automotive Electronics,Indian admissions / published programme fee,275000,,1100000,,10000,,,,,,1110000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Biomedical Engineering,Indian admissions / published programme fee,275000,,1100000,,10000,,,,,,1110000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Biomedical Engineering (Machine Intelligence),Indian admissions / published programme fee,275000,,1100000,,10000,,,,,,1110000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Biotechnology,Indian admissions / published programme fee,275000,,1100000,,10000,,,,,,1110000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Biotechnology (Computational Biology),Indian admissions / published programme fee,275000,,1100000,,10000,,,,,,1110000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Biotechnology (Food Technology),Indian admissions / published programme fee,275000,,1100000,,10000,,,,,,1110000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Biotechnology with specialization in Genetic Engineering,Indian admissions / published programme fee,275000,,1100000,,10000,,,,,,1110000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Biotechnology with specialization in Regenerative Medicine,Indian admissions / published programme fee,275000,,1100000,,10000,,,,,,1110000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Chemical Engineering,Indian admissions / published programme fee,275000,,1100000,,10000,,,,,,1110000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Civil Engineering,Indian admissions / published programme fee,275000,,1100000,,10000,,,,,,1110000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Civil Engineering with Computer Applications,Indian admissions / published programme fee,275000,,1100000,,10000,,,,,,1110000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Computer Science and Business System,Indian admissions / published programme fee,425000,,1700000,,10000,,,,,,1710000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
"SRM Institute of Science and Technology, Kattankulathur",2026-27,B.Tech Computer Science and Engineering,Indian admissions / published programme fee,475000,,1900000,,10000,,,,,,1910000,SRC002;SRC005,programme table; counselling manual,"Four-year total is a calculated no-escalation estimate of published annual tuition ×4 plus one-time INR 10,000 registration. INR 100,000 counselling fee is part of tuition and is not double-counted."
