college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
"SRM Institute of Science and Technology, Kattankulathur",Amazon,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
"SRM Institute of Science and Technology, Kattankulathur",Google,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
"SRM Institute of Science and Technology, Kattankulathur",Wells Fargo,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
"SRM Institute of Science and Technology, Kattankulathur",J.P. Morgan,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
"SRM Institute of Science and Technology, Kattankulathur",Morgan Stanley,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
"SRM Institute of Science and Technology, Kattankulathur",BNY,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
"SRM Institute of Science and Technology, Kattankulathur",LTIMindtree,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
"SRM Institute of Science and Technology, Kattankulathur",EY GDS,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
"SRM Institute of Science and Technology, Kattankulathur",Optum,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
"SRM Institute of Science and Technology, Kattankulathur",IBM,2024-25,,,Not officially stated in the cited release,Full-time/internship/PPO mix not separated,Confirmed in SRM Group 2024-25 recruiter overview; Kattankulathur-specific participation not separately verified,,,SRC014,"Official SRMIST admission/news release; exact role, branch eligibility and selected count not published.",C
