scholarship_name,provider,college_name,applicable_programme,applicable_year,category_requirement,gender_requirement,income_limit_inr,domicile_requirement,academic_requirement,entrance_exam_requirement,benefit_amount_inr,benefit_description,duration,required_documents,renewal_conditions,deadline,application_url,source_id,confidence_level
SRMJEEE 2026 Phase I Founder Scholarship,SRM Institute of Science and Technology,"SRM Institute of Science and Technology, Kattankulathur",Eligible B.Tech programmes,2026-27,General/eligible admission category,Any,,,Admission and continuing academic requirements under the current policy,SRMJEEE Phase I rank 1–27,,100% tuition fee plus hostel/transport benefit as specified for Founder Scholarship,First year and renewable only under current policy,Admission records and category/rank/supporting documents required by SRMIST,Official scholarship policy and award-letter conditions apply; verify before relying on renewal,,https://www.srmist.edu.in/admission-india/engineering/scholarships/,SRC015,B
SRMJEEE 2026 Phase I Merit Scholarship – 100% Tuition,SRM Institute of Science and Technology,"SRM Institute of Science and Technology, Kattankulathur",Eligible B.Tech programmes,2026-27,General/eligible admission category,,,,Admission and continuing academic requirements under the current policy,SRMJEEE Phase I rank 28–81,,"100% tuition-fee waiver; hostel, transport and other charges remain payable",First year and renewable only under current policy,Admission records and category/rank/supporting documents required by SRMIST,Official scholarship policy and award-letter conditions apply; verify before relying on renewal,,https://www.srmist.edu.in/admission-india/engineering/scholarships/,SRC015,B
SRMJEEE 2026 Phase I Rank Scholarship – 75% Tuition,SRM Institute of Science and Technology,"SRM Institute of Science and Technology, Kattankulathur",Eligible B.Tech programmes,2026-27,General/eligible admission category,,,,Admission and continuing academic requirements under the current policy,SRMJEEE Phase I rank 82–153,,75% tuition-fee waiver,First year and renewable only under current policy,Admission records and category/rank/supporting documents required by SRMIST,Official scholarship policy and award-letter conditions apply; verify before relying on renewal,,https://www.srmist.edu.in/admission-india/engineering/scholarships/,SRC015,B
SRMJEEE 2026 Phase I Rank Scholarship – 50% Tuition,SRM Institute of Science and Technology,"SRM Institute of Science and Technology, Kattankulathur",Eligible B.Tech programmes,2026-27,General/eligible admission category,,,,Admission and continuing academic requirements under the current policy,SRMJEEE Phase I rank 154–243,,50% tuition-fee waiver,First year and renewable only under current policy,Admission records and category/rank/supporting documents required by SRMIST,Official scholarship policy and award-letter conditions apply; verify before relying on renewal,,https://www.srmist.edu.in/admission-india/engineering/scholarships/,SRC015,B
SRMJEEE 2026 Phase I Rank Scholarship – 25% Tuition,SRM Institute of Science and Technology,"SRM Institute of Science and Technology, Kattankulathur",Eligible B.Tech programmes,2026-27,General/eligible admission category,,,,Admission and continuing academic requirements under the current policy,SRMJEEE Phase I rank 244–351,,25% tuition-fee waiver,First year and renewable only under current policy,Admission records and category/rank/supporting documents required by SRMIST,Official scholarship policy and award-letter conditions apply; verify before relying on renewal,,https://www.srmist.edu.in/admission-india/engineering/scholarships/,SRC015,B
SRMJEEE 2026 Phase II Founder Scholarship,SRM Institute of Science and Technology,"SRM Institute of Science and Technology, Kattankulathur",Eligible B.Tech programmes,2026-27,General/eligible admission category,Any,,,Admission and continuing academic requirements under the current policy,SRMJEEE Phase II rank 1–13,,100% tuition fee plus hostel/transport benefit as specified for Founder Scholarship,First year and renewable only under current policy,Admission records and category/rank/supporting documents required by SRMIST,Official scholarship policy and award-letter conditions apply; verify before relying on renewal,,https://www.srmist.edu.in/admission-india/engineering/scholarships/,SRC016,B
SRMJEEE 2026 Phase II Merit Scholarship – 100% Tuition,SRM Institute of Science and Technology,"SRM Institute of Science and Technology, Kattankulathur",Eligible B.Tech programmes,2026-27,General/eligible admission category,,,,Admission and continuing academic requirements under the current policy,SRMJEEE Phase II rank 14–40,,"100% tuition-fee waiver; hostel, transport and other charges remain payable",First year and renewable only under current policy,Admission records and category/rank/supporting documents required by SRMIST,Official scholarship policy and award-letter conditions apply; verify before relying on renewal,,https://www.srmist.edu.in/admission-india/engineering/scholarships/,SRC016,B
SRMJEEE 2026 Phase II Rank Scholarship – 75% Tuition,SRM Institute of Science and Technology,"SRM Institute of Science and Technology, Kattankulathur",Eligible B.Tech programmes,2026-27,General/eligible admission category,,,,Admission and continuing academic requirements under the current policy,SRMJEEE Phase II rank 41–76,,75% tuition-fee waiver,First year and renewable only under current policy,Admission records and category/rank/supporting documents required by SRMIST,Official scholarship policy and award-letter conditions apply; verify before relying on renewal,,https://www.srmist.edu.in/admission-india/engineering/scholarships/,SRC016,B
SRMJEEE 2026 Phase II Rank Scholarship – 50% Tuition,SRM Institute of Science and Technology,"SRM Institute of Science and Technology, Kattankulathur",Eligible B.Tech programmes,2026-27,General/eligible admission category,,,,Admission and continuing academic requirements under the current policy,SRMJEEE Phase II rank 77–121,,50% tuition-fee waiver,First year and renewable only under current policy,Admission records and category/rank/supporting documents required by SRMIST,Official scholarship policy and award-letter conditions apply; verify before relying on renewal,,https://www.srmist.edu.in/admission-india/engineering/scholarships/,SRC016,B
SRMJEEE 2026 Phase II Rank Scholarship – 25% Tuition,SRM Institute of Science and Technology,"SRM Institute of Science and Technology, Kattankulathur",Eligible B.Tech programmes,2026-27,General/eligible admission category,,,,Admission and continuing academic requirements under the current policy,SRMJEEE Phase II rank 122–175,,25% tuition-fee waiver,First year and renewable only under current policy,Admission records and category/rank/supporting documents required by SRMIST,Official scholarship policy and award-letter conditions apply; verify before relying on renewal,,https://www.srmist.edu.in/admission-india/engineering/scholarships/,SRC016,B
