college_name,official_branch_name,normalized_branch,degree,duration_years,approved_intake,female_supernumerary_seats,tfws_seats,nba_status,academic_year,source_id
Thapar Institute of Engineering and Technology,Computer Engineering,COE,BE/BTech,4,960,,,,2026-27,SRC002
Thapar Institute of Engineering and Technology,Computer Science and Engineering (Patiala Campus),CSE,BE/BTech,4,540,,,,2026-27,SRC002
Thapar Institute of Engineering and Technology,Computer Science and Business Systems,CSBS,BE/BTech,4,60,,,,2026-27,SRC002
Thapar Institute of Engineering and Technology,Artificial Intelligence and Data Science,AI & DS,BE/BTech,4,240,,,,2026-27,SRC002
Thapar Institute of Engineering and Technology,Electrical and Computer Engineering,EEC,BE/BTech,4,120,,,,2026-27,SRC002
Thapar Institute of Engineering and Technology,Electronics and Communication Engineering,ECE,BE/BTech,4,240,,,,2026-27,SRC002
Thapar Institute of Engineering and Technology,Electronics and Computer Engineering,ENC,BE/BTech,4,360,,,,2026-27,SRC002
Thapar Institute of Engineering and Technology,Robotics and Artificial Intelligence,RAI,BE/BTech,4,120,,,,2026-27,SRC002
Thapar Institute of Engineering and Technology,Electronics Engineering (VLSI Design and Technology),VLSI,BE/BTech,4,90,,,,2026-27,SRC002
Thapar Institute of Engineering and Technology,Electronics (Instrumentation and Control) Engineering,EIC,BE/BTech,4,90,,,,2026-27,SRC002
Thapar Institute of Engineering and Technology,Mechanical Engineering,ME,BE/BTech,4,120,,,Official department states NBA accredited; exact validity unverified,2026-27,SRC002
Thapar Institute of Engineering and Technology,Mechatronics,MCT,BE/BTech,4,60,,,Official department states NBA accredited; exact validity unverified,2026-27,SRC002
Thapar Institute of Engineering and Technology,Chemical Engineering,CHE,BE/BTech,4,60,,,,2026-27,SRC002
Thapar Institute of Engineering and Technology,Civil Engineering,CE,BE/BTech,4,90,,,Official department states NBA accredited; exact validity unverified,2026-27,SRC002
Thapar Institute of Engineering and Technology,Civil Engineering with Computer Applications,CE-CA,BE/BTech,4,30,,,,2026-27,SRC002
Thapar Institute of Engineering and Technology,Electrical Engineering,EE,BE/BTech,4,90,,,,2026-27,SRC002
Thapar Institute of Engineering and Technology,Biomedical Engineering,BME,BE/BTech,4,30,,,,2026-27,SRC002
Thapar Institute of Engineering and Technology,Biotechnology,BT,BE/BTech,4,90,,,,2026-27,SRC002
