college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
Thapar Institute of Engineering and Technology,AICTE-1-3688291341,2026,TIET Institute Counselling,"Round 1 (partial, not final)",Online institute counselling - JEE Main,Computer Science and Engineering (Patiala Campus),CSE,General - Outside Punjab,JEE Main AIR,Outside Punjab,Not separately published,,53883,96.5822547,,JEE Main AIR (CRL),SRC007,1
Thapar Institute of Engineering and Technology,AICTE-1-3688291341,2026,TIET Institute Counselling,"Round 1 (partial, not final)",Online institute counselling - JEE Main,Computer Science and Engineering (Patiala Campus),CSE,Scheduled Caste - Outside Punjab,JEE Main AIR,Outside Punjab,Not separately published,,306564,80.5058208,,JEE Main AIR (CRL),SRC007,1
Thapar Institute of Engineering and Technology,AICTE-1-3688291341,2026,TIET Institute Counselling,"Round 1 (partial, not final)",Online institute counselling - JEE Main,Computer Science and Engineering (Patiala Campus),CSE,General - Punjab,JEE Main AIR,Punjab,Not separately published,,98314,93.708262,,JEE Main AIR (CRL),SRC007,1
Thapar Institute of Engineering and Technology,AICTE-1-3688291341,2026,TIET Institute Counselling,"Round 1 (partial, not final)",Online institute counselling - JEE Main,Computer Science and Engineering (Patiala Campus),CSE,Backward Class - Punjab,JEE Main AIR,Punjab,Not separately published,,248255,84.1254477,,JEE Main AIR (CRL),SRC007,1
Thapar Institute of Engineering and Technology,AICTE-1-3688291341,2026,TIET Institute Counselling,"Round 1 (partial, not final)",Online institute counselling - JEE Main,Computer Engineering,COE,General - Outside Punjab,JEE Main AIR,Outside Punjab,Not separately published,,106367,93.15592,,JEE Main AIR (CRL),SRC007,1
Thapar Institute of Engineering and Technology,AICTE-1-3688291341,2026,TIET Institute Counselling,"Round 1 (partial, not final)",Online institute counselling - JEE Main,Computer Engineering,COE,Scheduled Caste - Outside Punjab,JEE Main AIR,Outside Punjab,Not separately published,,718626,55.8514924,,JEE Main AIR (CRL),SRC007,1
Thapar Institute of Engineering and Technology,AICTE-1-3688291341,2026,TIET Institute Counselling,"Round 1 (partial, not final)",Online institute counselling - JEE Main,Computer Engineering,COE,General - Punjab,JEE Main AIR,Punjab,Not separately published,,229474,85.561423,,JEE Main AIR (CRL),SRC007,1
Thapar Institute of Engineering and Technology,AICTE-1-3688291341,2026,TIET Institute Counselling,"Round 1 (partial, not final)",Online institute counselling - JEE Main,Computer Science and Business Systems,CSBS,General - Outside Punjab,JEE Main AIR,Outside Punjab,Not separately published,,90505,94.211378,,JEE Main AIR (CRL),SRC007,1
Thapar Institute of Engineering and Technology,AICTE-1-3688291341,2026,TIET Institute Counselling,"Round 1 (partial, not final)",Online institute counselling - JEE Main,Computer Science and Business Systems,CSBS,Scheduled Caste - Outside Punjab,JEE Main AIR,Outside Punjab,Not separately published,,380600,76.0092412,,JEE Main AIR (CRL),SRC007,1
Thapar Institute of Engineering and Technology,AICTE-1-3688291341,2026,TIET Institute Counselling,"Round 1 (partial, not final)",Online institute counselling - JEE Main,Computer Science and Business Systems,CSBS,General - Punjab,JEE Main AIR,Punjab,Not separately published,,214284,86.2406198,,JEE Main AIR (CRL),SRC007,1
Thapar Institute of Engineering and Technology,AICTE-1-3688291341,2026,TIET Institute Counselling,"Round 1 (partial, not final)",Online institute counselling - JEE Main,Computer Science and Business Systems,CSBS,Backward Class - Punjab,JEE Main AIR,Punjab,Not separately published,,297067,81.0679459,,JEE Main AIR (CRL),SRC007,1
Thapar Institute of Engineering and Technology,AICTE-1-3688291341,2026,TIET Institute Counselling,"Round 1 (partial, not final)",Online institute counselling - JEE Main,Artificial Intelligence and Data Science,AI & DS,General - Outside Punjab,JEE Main AIR,Outside Punjab,Not separately published,,79882,94.9117875,,JEE Main AIR (CRL),SRC007,1
Thapar Institute of Engineering and Technology,AICTE-1-3688291341,2026,TIET Institute Counselling,"Round 1 (partial, not final)",Online institute counselling - JEE Main,Artificial Intelligence and Data Science,AI & DS,Scheduled Caste - Outside Punjab,JEE Main AIR,Outside Punjab,Not separately published,,382844,75.9399241,,JEE Main AIR (CRL),SRC007,1
Thapar Institute of Engineering and Technology,AICTE-1-3688291341,2026,TIET Institute Counselling,"Round 1 (partial, not final)",Online institute counselling - JEE Main,Artificial Intelligence and Data Science,AI & DS,General - Punjab,JEE Main AIR,Punjab,Not separately published,,208550,86.6345807,,JEE Main AIR (CRL),SRC007,1
Thapar Institute of Engineering and Technology,AICTE-1-3688291341,2026,TIET Institute Counselling,"Round 1 (partial, not final)",Online institute counselling - JEE Main,Artificial Intelligence and Data Science,AI & DS,Backward Class - Punjab,JEE Main AIR,Punjab,Not separately published,,378155,76.2388461,,JEE Main AIR (CRL),SRC007,1
Thapar Institute of Engineering and Technology,AICTE-1-3688291341,2026,TIET Institute Counselling,"Round 1 (partial, not final)",Online institute counselling - JEE Main,Electronics and Computer Engineering,ENC,General - Outside Punjab,JEE Main AIR,Outside Punjab,Not separately published,,137419,91.153055,,JEE Main AIR (CRL),SRC007,1
Thapar Institute of Engineering and Technology,AICTE-1-3688291341,2026,TIET Institute Counselling,"Round 1 (partial, not final)",Online institute counselling - JEE Main,Electronics and Computer Engineering,ENC,General - Punjab,JEE Main AIR,Punjab,Not separately published,,408970,74.3691257,,JEE Main AIR (CRL),SRC007,1
Thapar Institute of Engineering and Technology,AICTE-1-3688291341,2026,TIET Institute Counselling,"Round 1 (partial, not final)",Online institute counselling - JEE Main,Electronics and Communication Engineering,ECE,General - Outside Punjab,JEE Main AIR,Outside Punjab,Not separately published,,147713,90.4944802,,JEE Main AIR (CRL),SRC007,1
Thapar Institute of Engineering and Technology,AICTE-1-3688291341,2026,TIET Institute Counselling,"Round 1 (partial, not final)",Online institute counselling - JEE Main,Electronics and Communication Engineering,ECE,Scheduled Caste - Outside Punjab,JEE Main AIR,Outside Punjab,Not separately published,,715909,56.0830533,,JEE Main AIR (CRL),SRC007,1
Thapar Institute of Engineering and Technology,AICTE-1-3688291341,2026,TIET Institute Counselling,"Round 1 (partial, not final)",Online institute counselling - JEE Main,Electronics and Communication Engineering,ECE,General - Punjab,JEE Main AIR,Punjab,Not separately published,,496210,69.202905,,JEE Main AIR (CRL),SRC007,1
Thapar Institute of Engineering and Technology,AICTE-1-3688291341,2026,TIET Institute Counselling,"Round 1 (partial, not final)",Online institute counselling - JEE Main,Electrical and Computer Engineering,EEC,General - Outside Punjab,JEE Main AIR,Outside Punjab,Not separately published,,158295,89.7964147,,JEE Main AIR (CRL),SRC007,1
Thapar Institute of Engineering and Technology,AICTE-1-3688291341,2026,TIET Institute Counselling,"Round 1 (partial, not final)",Online institute counselling - JEE Main,Electrical and Computer Engineering,EEC,General - Punjab,JEE Main AIR,Punjab,Not separately published,,550898,65.9594689,,JEE Main AIR (CRL),SRC007,1
Thapar Institute of Engineering and Technology,AICTE-1-3688291341,2026,TIET Institute Counselling,"Round 1 (partial, not final)",Online institute counselling - JEE Main,Robotics and Artificial Intelligence,RAI,General - Outside Punjab,JEE Main AIR,Outside Punjab,Not separately published,,129983,91.6384836,,JEE Main AIR (CRL),SRC007,1
Thapar Institute of Engineering and Technology,AICTE-1-3688291341,2026,TIET Institute Counselling,"Round 1 (partial, not final)",Online institute counselling - JEE Main,Robotics and Artificial Intelligence,RAI,Scheduled Caste - Outside Punjab,JEE Main AIR,Outside Punjab,Not separately published,,737380,54.8359263,,JEE Main AIR (CRL),SRC007,1
