college_name,company_name,placement_year,role,role_category,eligible_branches,hiring_type,campus_status,number_selected,package_or_range,source_id,evidence_note,confidence_level
Thapar Institute of Engineering and Technology,Adobe Systems,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,Amazon India,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,AMD,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,Apple,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,American Express,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,Bain & Company,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,Bank of America,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,Barclays,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,BlackRock,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,Bosch,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,Cadence Design Systems,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,Cisco Systems,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,D. E. Shaw,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,Deloitte Consulting,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,Dell Technologies,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,Ericsson,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,EY,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,Flipkart,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,Fractal,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,Goldman Sachs,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,HCL Technologies,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,Honeywell,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,HSBC,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,IBM,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,Infosys,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,JPMorgan Chase,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,Larsen & Toubro,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,Microsoft,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,Reliance Industries,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
Thapar Institute of Engineering and Technology,Samsung Engineering,,,,Not officially published in the cited roster,,"Officially listed, year unavailable",,,SRC020,"Name appears on an official recruiter page; no dated visit, role, branch eligibility or selection count was verified.",C
