college_name,official_branch_name,normalized_branch,degree,duration_years,approved_intake,female_supernumerary_seats,tfws_seats,nba_status,academic_year,source_id
"Visvesvaraya National Institute of Technology, Nagpur","Chemical Engineering (4 Years, Bachelor of Technology)",CHE,B.Tech.,4,115,0,0,,2026-27,SRC001
"Visvesvaraya National Institute of Technology, Nagpur","Civil Engineering (4 Years, Bachelor of Technology)",CE,B.Tech.,4,115,0,0,,2026-27,SRC001
"Visvesvaraya National Institute of Technology, Nagpur","Computer Science and Engineering (4 Years, Bachelor of Technology)",CSE,B.Tech.,4,115,0,0,,2026-27,SRC001
"Visvesvaraya National Institute of Technology, Nagpur","Electronics and Communication Engineering (4 Years, Bachelor of Technology)",ECE,B.Tech.,4,115,0,0,,2026-27,SRC001
"Visvesvaraya National Institute of Technology, Nagpur","Engineering Physics (4 Years, Bachelor of Technology)",EP,B.Tech.,4,30,0,0,,2026-27,SRC001
"Visvesvaraya National Institute of Technology, Nagpur","Electronics Engineering (VLSI Design and Technology) (4 Years, Bachelor of Technology)",VLSI,B.Tech.,4,60,0,0,,2026-27,SRC001
"Visvesvaraya National Institute of Technology, Nagpur","Mathematics and Computing (4 Years, Bachelor of Technology)",MnC,B.Tech.,4,30,0,0,,2026-27,SRC001
"Visvesvaraya National Institute of Technology, Nagpur","Mechanical Engineering (4 Years, Bachelor of Technology)",ME,B.Tech.,4,115,0,0,,2026-27,SRC001
"Visvesvaraya National Institute of Technology, Nagpur","Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",MME,B.Tech.,4,115,0,0,,2026-27,SRC001
"Visvesvaraya National Institute of Technology, Nagpur","Mining Engineering (4 Years, Bachelor of Technology)",Mining,B.Tech.,4,50,0,0,,2026-27,SRC001
"Visvesvaraya National Institute of Technology, Nagpur","Chemical Technology (Bioprocess Technology) (4 Years, Bachelor of Technology)",Bioprocess,B.Tech.,4,30,0,0,,2026-27,SRC001
"Visvesvaraya National Institute of Technology, Nagpur","Computer Science and Engineering (Artificial Intelligence and Data Science) (4 Years, Bachelor of Technology)",AI & DS,B.Tech.,4,60,0,0,,2026-27,SRC001
"Visvesvaraya National Institute of Technology, Nagpur","Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",EEE,B.Tech.,4,115,0,0,,2026-27,SRC001
"Visvesvaraya National Institute of Technology, Nagpur","Architecture (5 Years, Bachelor of Architecture)",B.Arch,B.Arch.,5,78,0,0,,2026-27,SRC001
