college_name,institute_code,year,counselling_system,round,seat_allocation_type,official_branch_name,normalized_branch,category,category_rank_type,quota,gender_pool,opening_rank,closing_rank,percentile,score,rank_type,source_id,source_page
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 1,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,EWS,GEN-EWS rank,Home State,Female-only (including Supernumerary),154,154,,,GEN-EWS rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 2,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,EWS,GEN-EWS rank,Home State,Female-only (including Supernumerary),159,159,,,GEN-EWS rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 3,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,EWS,GEN-EWS rank,Home State,Female-only (including Supernumerary),159,159,,,GEN-EWS rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 4,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,EWS,GEN-EWS rank,Home State,Female-only (including Supernumerary),159,159,,,GEN-EWS rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 5,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,EWS,GEN-EWS rank,Home State,Female-only (including Supernumerary),159,159,,,GEN-EWS rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 1,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,EWS,GEN-EWS rank,Home State,Gender-Neutral,159,271,,,GEN-EWS rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 2,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,EWS,GEN-EWS rank,Home State,Gender-Neutral,470,477,,,GEN-EWS rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 3,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,EWS,GEN-EWS rank,Home State,Gender-Neutral,572,600,,,GEN-EWS rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 4,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,EWS,GEN-EWS rank,Home State,Gender-Neutral,572,639,,,GEN-EWS rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 5,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,EWS,GEN-EWS rank,Home State,Gender-Neutral,572,725,,,GEN-EWS rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 1,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,OBC-NCL,OBC-NCL rank,Home State,Female-only (including Supernumerary),317,383,,,OBC-NCL rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 2,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,OBC-NCL,OBC-NCL rank,Home State,Female-only (including Supernumerary),423,552,,,OBC-NCL rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 3,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,OBC-NCL,OBC-NCL rank,Home State,Female-only (including Supernumerary),423,552,,,OBC-NCL rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 4,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,OBC-NCL,OBC-NCL rank,Home State,Female-only (including Supernumerary),423,552,,,OBC-NCL rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 5,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,OBC-NCL,OBC-NCL rank,Home State,Female-only (including Supernumerary),552,785,,,OBC-NCL rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 1,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,OBC-NCL,OBC-NCL rank,Home State,Gender-Neutral,333,485,,,OBC-NCL rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 2,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,OBC-NCL,OBC-NCL rank,Home State,Gender-Neutral,403,712,,,OBC-NCL rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 3,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,OBC-NCL,OBC-NCL rank,Home State,Gender-Neutral,403,953,,,OBC-NCL rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 4,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,OBC-NCL,OBC-NCL rank,Home State,Gender-Neutral,403,1049,,,OBC-NCL rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 5,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,OBC-NCL,OBC-NCL rank,Home State,Gender-Neutral,539,1089,,,OBC-NCL rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 1,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,OBC-NCL (PwD),OBC-NCL-PwD rank,Home State,Gender-Neutral,83,83,,,OBC-NCL-PwD rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 1,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,OPEN,CRL,Home State,Female-only (including Supernumerary),352,638,,,CRL,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 2,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,OPEN,CRL,Home State,Female-only (including Supernumerary),540,683,,,CRL,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 3,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,OPEN,CRL,Home State,Female-only (including Supernumerary),540,683,,,CRL,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 4,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,OPEN,CRL,Home State,Female-only (including Supernumerary),540,683,,,CRL,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 5,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,OPEN,CRL,Home State,Female-only (including Supernumerary),540,683,,,CRL,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 1,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,OPEN,CRL,Home State,Gender-Neutral,265,847,,,CRL,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 2,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,OPEN,CRL,Home State,Gender-Neutral,265,1084,,,CRL,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 3,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,OPEN,CRL,Home State,Gender-Neutral,265,1203,,,CRL,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 4,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,OPEN,CRL,Home State,Gender-Neutral,265,1203,,,CRL,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 5,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,OPEN,CRL,Home State,Gender-Neutral,265,1350,,,CRL,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 1,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,OPEN (PwD),CRL-PwD,Home State,Gender-Neutral,102,102,,,CRL-PwD,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 2,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,OPEN (PwD),CRL-PwD,Home State,Gender-Neutral,102,102,,,CRL-PwD,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 3,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,OPEN (PwD),CRL-PwD,Home State,Gender-Neutral,102,102,,,CRL-PwD,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 4,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,OPEN (PwD),CRL-PwD,Home State,Gender-Neutral,102,102,,,CRL-PwD,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 5,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,OPEN (PwD),CRL-PwD,Home State,Gender-Neutral,102,102,,,CRL-PwD,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 1,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,SC,SC rank,Home State,Female-only (including Supernumerary),190,242,,,SC rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 2,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,SC,SC rank,Home State,Female-only (including Supernumerary),190,362,,,SC rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 3,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,SC,SC rank,Home State,Female-only (including Supernumerary),190,362,,,SC rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 4,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,SC,SC rank,Home State,Female-only (including Supernumerary),190,362,,,SC rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 5,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,SC,SC rank,Home State,Female-only (including Supernumerary),190,383,,,SC rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 1,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,SC,SC rank,Home State,Gender-Neutral,93,276,,,SC rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 2,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,SC,SC rank,Home State,Gender-Neutral,338,383,,,SC rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 3,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,SC,SC rank,Home State,Gender-Neutral,338,421,,,SC rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 4,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,SC,SC rank,Home State,Gender-Neutral,338,421,,,SC rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 5,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,SC,SC rank,Home State,Gender-Neutral,338,441,,,SC rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 1,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,ST,ST rank,Home State,Gender-Neutral,68,212,,,ST rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 2,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,ST,ST rank,Home State,Gender-Neutral,191,367,,,ST rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 3,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,ST,ST rank,Home State,Gender-Neutral,191,367,,,ST rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 4,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,ST,ST rank,Home State,Gender-Neutral,191,367,,,ST rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 5,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,ST,ST rank,Home State,Gender-Neutral,191,367,,,ST rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 1,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,EWS,GEN-EWS rank,All India,Female-only (including Supernumerary),164,164,,,GEN-EWS rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 2,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,EWS,GEN-EWS rank,All India,Female-only (including Supernumerary),164,164,,,GEN-EWS rank,SRC003,
"Visvesvaraya National Institute of Technology, Nagpur",230,2024,JoSAA,Round 3,Regular JoSAA round,"Architecture (5 Years, Bachelor of Architecture)",B.Arch,EWS,GEN-EWS rank,All India,Female-only (including Supernumerary),164,164,,,GEN-EWS rank,SRC003,
