college_name,official_branch_name,normalized_branch,degree,duration_years,approved_intake,female_supernumerary_seats,tfws_seats,nba_status,academic_year,source_id
Vellore Institute of Technology,B.Tech - Biotechnology,BT,B.Tech,4,180,,,,Programme 2026-27; sanctioned intake 2024-25,S011;S009
Vellore Institute of Technology,B.Tech - Chemical Engineering,CHE,B.Tech,4,120,,,,Programme 2026-27; sanctioned intake 2024-25,S011;S009
Vellore Institute of Technology,B.Tech - Civil Engineering,CE,B.Tech,4,120,,,,Programme 2026-27; sanctioned intake 2024-25,S011;S009
Vellore Institute of Technology,B.Tech - Civil Engineering (in Collaboration with L&T),CE (L&T),B.Tech,4,,,,,Programme 2026-27; intake unavailable,S011
Vellore Institute of Technology,B.Tech - Computer Science and Engineering,CSE,B.Tech,4,1080,,,,Programme 2026-27; sanctioned intake 2024-25,S011;S009
Vellore Institute of Technology,B.Tech - Computer Science and Engineering (Artificial Intelligence and Machine Learning),CSE (AI & ML),B.Tech,4,180,,,,Programme 2026-27; sanctioned intake 2024-25,S011;S009
Vellore Institute of Technology,B.Tech - Computer Science and Engineering (Artificial Intelligence and Data Engineering),CSE (AI & DE),B.Tech,4,120,,,,Programme 2026-27; sanctioned intake 2024-25,S011;S009
Vellore Institute of Technology,B.Tech - Computer Science and Engineering (Bioinformatics),CSE (Bioinfo),B.Tech,4,120,,,,Programme 2026-27; sanctioned intake 2024-25,S011;S009
Vellore Institute of Technology,B.Tech - Computer Science and Engineering and Business Systems (in collaboration with TCS),CSE-BS,B.Tech,4,180,,,,Programme 2026-27; sanctioned intake 2024-25,S011;S009
Vellore Institute of Technology,B.Tech - Computer Science and Engineering (Cyber Security),CSE (Cyber),B.Tech,4,120,,,,Programme 2026-27; sanctioned intake 2024-25,S011;S009
Vellore Institute of Technology,B.Tech - Computer Science and Engineering (Data Science),CSE (DS),B.Tech,4,300,,,,Programme 2026-27; sanctioned intake 2024-25,S011;S009
Vellore Institute of Technology,B.Tech - Electrical and Electronics Engineering,EEE,B.Tech,4,180,,,,Programme 2026-27; sanctioned intake 2024-25,S011;S009
Vellore Institute of Technology,B.Tech - Electronics and Computer Engineering,E&C,B.Tech,4,,,,,Programme 2026-27; intake unavailable,S011
Vellore Institute of Technology,B.Tech - Electronics and Communication Engineering,ECE,B.Tech,4,480,,,,Programme 2026-27; sanctioned intake 2024-25,S011;S009
Vellore Institute of Technology,B.Tech - Electronics and Instrumentation Engineering,E&I,B.Tech,4,60,,,,Programme 2026-27; sanctioned intake 2024-25,S011;S009
Vellore Institute of Technology,B.Tech - Electronics Engineering (VLSI Design and Technology),EE-VLSI,B.Tech,4,120,,,,Programme 2026-27; sanctioned intake 2024-25,S011;S009
Vellore Institute of Technology,B.Tech - Health Sciences and Technology,HST,B.Tech,4,60,,,,Programme 2026-27; sanctioned intake 2024-25,S011;S009
Vellore Institute of Technology,B.Tech - Information Technology,IT,B.Tech,4,420,,,,Programme 2026-27; sanctioned intake 2024-25,S011;S009
Vellore Institute of Technology,B.Tech - Mechanical Engineering,ME,B.Tech,4,480,,,,Programme 2026-27; sanctioned intake 2024-25,S011;S009
